	ANRIL	p16	p14	p15
Fingernail%20%28including%20nail%20plate%2c%20eponychium%20and%20hyponychium%29%2c%20donor2.CNhs13445.10301-104H4	0.871530644343827	0.0	1.74306128868765	47.9341854389105
Skin%20-%20palm%2c%20donor1.CNhs13458.10286-104F7	0.0	0.0	0.0	48.3499544381067
Urethra%2c%20donor2.CNhs13464.10319-105A4	1.79842721553293	0.0	1.79842721553293	3.59685443106587
achilles%20tendon%2c%20donor2.CNhs13435.10292-104G4	0.0	6.19958680526633	16.5322314807102	4.13305787017755
adipose%20tissue%2c%20adult%2c%20pool1.CNhs10615.10010-101C1	0.155119210479581	0.465357631438744	1.08583447335707	29.1624115701613
adrenal%20gland%2c%20adult%2c%20pool1.CNhs11793.10081-102A9	0.0	0.0	7.27533699281044	3.63766849640522
aorta%2c%20adult%2c%20pool1.CNhs11760.10052-101G7	0.196133014986039	0.784532059944155	0.784532059944155	2.35359617983246
appendix%2c%20adult.CNhs12842.10189-103D9	2.71682587712577	0.0	3.88117982446538	13.5841293856288
artery%2c%20adult.CNhs12843.10190-103E1	0.0	0.0	0.0	1.35868895014024
bladder%2c%20adult%2c%20pool1.CNhs10616.10011-101C2	0.760488275647606	0.108641182235372	2.06418246247207	3.47651783153191
blood%2c%20adult%2c%20pool1.CNhs11761.10053-101G8	0.0	0.0	4.42925283339705	0.0
bone%20marrow%2c%20adult.CNhs12845.10192-103E3	1.34965211510414	4.7237824028645	31.0419986473953	2.69930423020829
breast%2c%20adult%2c%20donor1.CNhs11792.10080-102A8	0.0	0.631356317723461	2.52542527089385	28.4110342975558
cerebral%20meninges%2c%20adult.CNhs12840.10188-103D8	0.252139388987426	0.756418166962277	0.756418166962277	1.0085575559497
cerebrospinal%20fluid%2c%20donor2.CNhs13437.10294-104G6	0.0	3.65442135542015	10.9632640662605	7.3088427108403
cervix%2c%20adult%2c%20pool1.CNhs10618.10013-101C4	0.104990173966011	0.419960695864045	1.25988208759213	11.4439289622952
corpus%20callosum%2c%20adult%2c%20pool1.CNhs10649.10042-101F6	1.7689969151366	1.21618537915641	5.52811535980188	2.76405767990094
cruciate%20ligament%2c%20donor2.CNhs13439.10295-104G7	0.0	2.43141076033157	15.3989348154333	4.05235126721929
diencephalon%2c%20adult.CNhs12610.10193-103E4	0.0	0.479976779332999	1.439930337999	1.439930337999
ductus%20deferens%2c%20adult.CNhs12846.10196-103E7	0.498339855704268	0.0	0.498339855704268	2.49169927852134
dura%20mater%2c%20adult%2c%20donor1.CNhs10648.10041-101F5	0.743285266862472	0.082587251873608	4.54229885304844	0.0
epididymis%2c%20adult.CNhs12847.10197-103E8	0.627933007796502	0.0	1.255866015593	0.837244010395335
esophagus%2c%20adult%2c%20pool1.CNhs10620.10015-101C6	0.21235594679187	0.318533920187805	5.94596651017237	35.6757990610342
eye%20-%20muscle%20inferior%20rectus%2c%20donor1.CNhs13444.10272-104E2	0.0	0.0	0.0	2.41457311059916
eye%20-%20muscle%20lateral%2c%20donor2.CNhs13442.10298-104H1	0.0	0.0	6.31261221103113	0.0
eye%20-%20muscle%20medial%2c%20donor2.CNhs13443.10299-104H2	0.0	0.0	0.0	1.48821515584899
eye%20-%20muscle%20superior%2c%20donor2.CNhs13441.10297-104G9	0.0	2.29299314315267	5.73248285788167	1.14649657157633
eye%20-%20vitreous%20humor%2c%20donor1.CNhs13440.10268-104D7	0.0	2.91478123977813	7.28695309944532	2.91478123977813
frontal%20lobe%2c%20adult%2c%20pool1.CNhs10647.10040-101F4	1.03206384830801	0.375295944839278	1.97030371040621	0.469119931049097
gall%20bladder%2c%20adult.CNhs12848.10198-103E9	0.965729433363052	0.0	3.38005301677068	1.9314588667261
heart%20-%20mitral%20valve%2c%20adult.CNhs12855.10205-103F7	0.298967678577156	0.298967678577156	0.0	1.49483839288578
heart%20-%20pulmonic%20valve%2c%20adult.CNhs12856.10206-103F8	0.261475353086817	0.0	0.0	2.09180282469454
heart%20-%20tricuspid%20valve%2c%20adult.CNhs12857.10207-103F9	0.0	0.832641699992021	0.0	3.33056679996809
heart%2c%20adult%2c%20diseased%20post-infarction%2c%20donor1.CNhs11757.10050-101G5	1.02028277755762	4.48924422125354	40.6072545467934	10.4068843310878
heart%2c%20adult%2c%20diseased%2c%20donor1.CNhs11758.10051-101G6	0.0	0.0	0.0	0.0
heart%2c%20adult%2c%20pool1.CNhs10621.10016-101C7	0.0	0.229977348389461	0.229977348389461	2.06979613550515
insula%2c%20adult%2c%20pool1.CNhs10646.10039-101F3	0.946334373409457	0.851700936068511	1.79803530947797	0.189266874681891
kidney%2c%20adult%2c%20pool1.CNhs10622.10017-101C8	0.200254804392654	0.100127402196327	0.100127402196327	0.700891815374289
left%20atrium%2c%20adult%2c%20donor1.CNhs11790.10079-102A7	0.544850850983526	0.0	0.0	1.63455255295058
left%20ventricle%2c%20adult%2c%20donor1.CNhs11789.10078-102A6	0.0	0.0	0.0	1.01130899913443
