	p14.norm
HIST1H1D	0.1291021823092931
ACAT2	0.1289627537480049
FANCB	0.1278378911569879
BUB3	0.1276961259881273
CXCL12	0.1272667193820453
NDUFA4	0.1267861160760383
BUB1B	0.126619837522382
PKMYT1	0.1255705476333382
DTL	0.1252925901487915
KIF11	0.1249582094146496
SOCS1	0.1246198822534512
KNSTRN	0.1231038092328924
CDC6	0.1230991558126771
PEG10	0.1230482787846704
MCM10	0.1229547363407328
HIST1H1E	0.1223750384008341
HJURP	0.122119345076294
SKA1	0.1215443418933976
CDT1	0.1213466282687392
CDCA7	0.1208632985054152
OIP5	0.1208559766810763
MCM4	0.1188214508738923
WDR76	0.1187104003218023
SPDL1	0.1163710050046087
ID3	0.1157535697114743
VCAN	0.1156447441844538
MXD3	0.1154492553657966
REEP4	0.1147018997440931
NEK2	0.1143478909349545
KIF14	0.1136742431332452
GAS2L3	0.1135006528267972
IL11	0.1131219152717264
H1FX	0.1130644216641191
CSRP2	0.1126566545200265
