	p14.norm
H2AFZ	0.3193058265244392
HMGB1	0.3174794585171799
HMGN2	0.3100365943730263
PCLAF	0.2914124729625502
CENPW	0.2653631745765126
TK1	0.2597177389864022
TMSB15A	0.2570256906594972
RPL39L	0.2542515675600336
DEK	0.253889285744934
BIRC5	0.2518962802230415
STMN1	0.2516355227747769
PTTG1	0.2512841695516598
CENPN	0.2422637058712257
HIST1H4C	0.2399373195875875
CDKN3	0.238971927827951
MYL6	0.2324638558686756
CKS1B	0.2309624726648748
CENPM	0.2304295034828179
MALAT1	0.2267989130380795
TYMS	0.2249922363252171
PHF19	0.2233205837467425
RRM2	0.2141605599272947
SMC4	0.2110588735416125
HMGB3	0.2099789432752718
DHFR	0.20646419144904
PIMREG	0.2058928355215669
FOXM1	0.2018841483627824
ZWINT	0.201526840006278
H2AFX	0.2006220877206152
HMGB2	0.2005511297301212
TROAP	0.2002344545524745
TPX2	0.1987531706366194
GINS2	0.1987498279226624
UBE2T	0.1965079066894266
CENPF	0.1960830562937448
MKI67	0.1952470858830339
CKS2	0.1950370097836448
CENPU	0.1944160985070452
ITGB3BP	0.1938653983170429
CDCA3	0.1928884122770944
NUSAP1	0.1925303402674715
TMPO	0.1902405447257561
ADAMTS6	0.1886845830766315
GTSE1	0.1840559989909634
ANLN	0.1839201496717202
UBE2C	0.1836319318390442
NRGN	0.1828493532269337
ODC1	0.1824337194244521
FOSL1	0.1820295201437681
USP1	0.180671833783945
DNAJC9	0.180520021041917
CLSPN	0.1804489085851829
UBE2S	0.1801906931266774
TOP2A	0.1800468081323793
PBK	0.1797463610232193
CENPK	0.1794194129645782
MZT1	0.1793901641631677
CDKN2C	0.1791686859235618
CEP55	0.1788886467389473
MYBL2	0.1787376520955513
EZH2	0.1783481404973931
DLEU2	0.1780313630872739
GMNN	0.1765440502489832
AURKB	0.1757737358202958
MIS18BP1	0.1751343512035503
PLAUR	0.1738852145606829
TEX30	0.1738268869586217
SHCBP1	0.173490224693899
TCF19	0.1722726886349069
HELLS	0.1714742759294092
RAD51AP1	0.1710803485206212
NSD2	0.1705428463876019
CCDC34	0.1704074033036986
ASF1B	0.1681674287803078
ANP32E	0.1663103562593594
FBXO5	0.1660865195709393
CENPA	0.1660409834632616
CCNA2	0.1651210774738777
ASPM	0.1651167877941551
MELK	0.1649116506908759
CDC20	0.1648270305833363
NETO2	0.1647002216926821
DLGAP5	0.1645093545591282
MAD2L1	0.1641942089795786
CCNB1	0.1640783127537946
SGO1	0.1630162286773067
SPC25	0.1624310484855586
TUBB4B	0.162073927023545
DBF4	0.1610587020068358
SOCS2	0.1602292249001131
UHRF1	0.1598008762986986
PSMC3IP	0.1595094610671969
PCOLCE	0.1590782341901298
DEPDC1	0.1589630595952685
MND1	0.158358678240097
KIF20B	0.157667148248263
SKA3	0.1573317126448415
GPSM2	0.1566972460176273
CDCA5	0.1565358943859578
ATP5MF	0.1549465899940459
C12orf75	0.1541953009830663
ARHGAP11A	0.1537567466602926
CCNB2	0.1526880124294433
TRIP13	0.1516429533769603
SPC24	0.1514242782680548
CENPE	0.1504709686457228
KIF2C	0.1499774392480952
ATAD2	0.1499404103399393
PRR11	0.1495301245398111
ORC6	0.1493831360883711
MT1E	0.1492939972283515
CIP2A	0.1492837370830518
POC1A	0.1492276636472823
BARD1	0.1485879398746313
NUF2	0.1469914194567677
TMEFF2	0.1468014464639827
CDK1	0.1466969948876848
CTHRC1	0.1450312070239699
SGO2	0.1447057791582019
MCM7	0.1443030514991174
PRC1	0.1442444865539202
TACC3	0.1441125150232525
SPHK1	0.1439305603532263
RFC4	0.1436525327040115
LMNB1	0.1429161322449824
PCNA	0.1428024490042402
SMC2	0.1427243991766029
C19orf48	0.1426644511521822
AURKA	0.1413530396062814
CKAP2L	0.1412942086012884
DIAPH3	0.1411211995690032
PSRC1	0.1410129910390131
RTKN2	0.1408708936266935
LMO4	0.1408621686620355
FEN1	0.140814139633048
CDCA2	0.1405690203394599
PLK1	0.1405239927680664
CTSC	0.1396217984376732
H1F0	0.1395917503143525
RFC3	0.1388091905385334
HMMR	0.1384113659631544
ESCO2	0.1373490562699871
CKAP2	0.137157310912672
KIF23	0.1369846600729531
DEPDC1B	0.1368241258060662
KIF4A	0.1364298263085129
HAS2	0.1357093517407475
EBP	0.1355407498197256
NCAPG	0.134946904131913
KPNA2	0.1343044887706072
CDCA8	0.1339062767677812
ATAD5	0.1333943596172419
CIT	0.133031379574234
NDC80	0.1326808449074731
KNL1	0.1322684945718661
RACGAP1	0.1318088010524775
NFKBIA	0.1316969632124984
BRCA2	0.1314824522211946
C21orf58	0.1312405599331279
ARHGAP11B	0.1306115192521849
TTK	0.1303221246190083
CDCA4	0.1298621368982964
CHAF1A	0.1297453360281332
BUB1	0.1297276307510874
AXL	0.1291864714144342
KIFC1	0.1291629403830933
