	CDKN2B
DPP4	0.3535274531033904
TGFBI	0.346317935412794
EPAS1	0.331964295836804
PAPPA	0.325292421099666
PLXDC2	0.316374476296581
PGRMC2	0.3148687254143578
PSAP	0.3139965466468387
TXNIP	0.3065315586960166
SPARC	0.3026368262219986
RHOQ	0.2991612102705467
PPP1R3C	0.2978822056605633
PAM	0.2935739362868589
LUM	0.2923066301567705
HIST1H2AC	0.2902557640779249
COL4A1	0.2878270302078695
LOXL2	0.2868032836617442
HEG1	0.2865212859441943
TIMP2	0.2863916540761316
ITGB5	0.2802306744642016
PCYOX1	0.2797551848621544
MXRA7	0.2786080398558757
CD81	0.2782390128731992
FLRT2	0.2772776412607232
SERPINE2	0.2768396803230493
OPN3	0.2765839701811583
GNS	0.2763859092495258
SERINC1	0.2748585900609937
FSTL1	0.2721899387235216
STAT1	0.2720319196946772
NORAD	0.2718048558373566
FNDC3B	0.2695979223202864
CADM1	0.2673645272994444
THBS2	0.2668693092281192
CDKN1A	0.2666767629294472
ZMAT3	0.266583864921963
HIST1H4H	0.2663668963520908
TP53INP1	0.2663262706515853
PERP	0.2622041351583343
IGFBP4	0.2621142089553238
COL5A2	0.2598046434968225
ABCC4	0.2587452552382715
TGFB2	0.2566138834350197
MEGF9	0.2543856722807482
UBE2H	0.2536363919629153
RRM2B	0.2526944921837938
PIK3IP1	0.2523440934865426
FBN1	0.2523105265642789
MAP3K7CL	0.2521432714109204
ZFP36L1	0.2520249564104602
GJA1	0.2519611466712866
GABARAPL1	0.2513104068166039
PSD3	0.2503110190850959
ZFAND5	0.2501955815337014
CPA4	0.2500306012469825
IGF2R	0.2499643162535733
APP	0.2495489107719369
MMP2	0.2487878123809116
STC2	0.2480026767902295
SH3PXD2A	0.2479199411136067
MMP14	0.2476079928209747
CALCOCO1	0.2470079474580732
LOX	0.2456684177013123
PSG9	0.245560791146789
TRAM1	0.244646983780811
PLOD2	0.244203471269441
CYBRD1	0.2439432702935622
GLS	0.2439244866318271
HIF1A	0.2436031216422511
RDH10	0.24345130599595
CDK6	0.2428207482466425
ATP6V1A	0.2423441270042649
C16orf72	0.2422118583693018
ATP2B4	0.241585064901316
QSOX1	0.2415431536626987
YWHAG	0.2411289390151235
JUND	0.2406510902757435
DKK3	0.2400415330752465
LAMC1	0.2395078560626816
THBS1	0.2390754526577899
EDIL3	0.2380462618877855
NDRG1	0.2372133368904226
ARL4C	0.2371942927330208
PIGS	0.2370407954521275
PRNP	0.2367304963932562
SLC38A2	0.2363915767816519
CPD	0.2363100256051613
FAM198B	0.2361456724120778
GNPTAB	0.2353610844693712
CD44	0.234913782124894
DDAH1	0.2340941531734065
KIAA0930	0.2338415702062989
MGAT4B	0.2337507185829852
SAT1	0.2336337191931696
PRRG1	0.2329149125146657
EXT1	0.2324257813037816
ANTXR1	0.2323564508443374
OSTM1	0.2320794983156225
WDR26	0.2319550585336145
LRP1	0.2317439871446321
COL1A2	0.2317307813322121
TMEM30A	0.2313356094192939
PRPS1	0.2303880028204065
WNT5A	0.2302805455214107
SLC2A1	0.2292681006254206
TGFBR2	0.228377637205505
GTF2I	0.2281583329604678
SCD	0.2280358485419588
CCND2	0.2270147933938569
HIPK3	0.2267732238112819
FN1	0.2266775276000353
SDC3	0.2265586566720392
GALNT5	0.2258975780203383
HBP1	0.2258240208335866
