	CDKN2B
DDX3X	0.2253352316401902
SERINC3	0.2252460556136135
CEBPB	0.224447235389544
MAN1C1	0.2243670422083997
SERF2	0.2237734014014904
FGF2	0.223705869617129
EFEMP1	0.2235400046287309
CLIC4	0.223270623704522
HTRA1	0.2227832890020197
NABP1	0.2227605072476402
DDR1	0.2226226679564561
SLC40A1	0.2224851533549552
PRSS23	0.2220505847561908
AK4	0.2212720185839513
SOD2	0.2211268544494557
FBXO32	0.2207700949883564
AK3	0.2203083003205039
ATP6AP1	0.2195021649731176
TNFRSF10D	0.2192269840187979
BNIP3L	0.2190369728987009
RAB5B	0.2189737218379958
MOSPD1	0.2184984328394332
SARAF	0.2183832378734193
IDS	0.2179617831829331
CLPTM1L	0.2179516896875276
FAM84B	0.2174580559243986
SLC1A1	0.2170972590539627
MXI1	0.2163411002666296
MACF1	0.215960347195671
ADAM9	0.2152462429955558
NPTN	0.2150391302402367
TPRG1L	0.2147640267381015
ITGB1	0.2145216726866238
LINC02154	0.2142646120187464
MIR4435-2HG	0.2136233983125698
SLC7A11	0.2125299556320339
CREBRF	0.2121544890637361
NCSTN	0.2114136564851606
IRS2	0.2105872988043756
LAMP1	0.2104314459997088
STOM	0.2098561836082661
NPTXR	0.2097039430405389
TGOLN2	0.2096388675484869
YPEL5	0.2095298220766764
GPRC5A	0.2093825612795428
HIST1H2BC	0.2093617565595017
SLC38A1	0.2091437753355003
OSMR	0.2089137085171631
DSP	0.2085617933379545
DAB2	0.2085211773817165
ABCA1	0.208493230083956
VAT1	0.2083718444110822
KCNE4	0.2083490382369084
IGFBP3	0.2081945249162511
ADAMTS5	0.2076776326108229
CANX	0.2072763016114822
CLDN1	0.2068705802118413
WNK1	0.2064090275988815
PDE5A	0.2058607081559745
DPYSL2	0.2057955470942166
TYRP1	0.2052030031325621
NOTCH2	0.2051968236146442
TNFRSF11B	0.204234475827204
GNAS	0.2042090153077867
PAMR1	0.2039374516016531
GPX3	0.2039069087715858
ELL2	0.2032188726190932
IGFBP7	0.2026048975565121
COX14	0.2023813457564391
ZNF219	0.2018174998268994
BCAT1	0.2015999528249989
DNAJB4	0.2012043967685383
NXN	0.2011524406474806
JCAD	0.2010085068330306
MXD4	0.2004048441465563
C5orf46	0.2001004121563818
ADAMTS12	0.2000222187678134
SCD5	0.1999952010154852
MYH9	0.1999591980521177
NCKAP1	0.1998472096304058
REEP3	0.1996607728895295
GNA13	0.1996415325113766
STK32B	0.1987697743320653
C9orf3	0.1983967207455894
SPOCK1	0.1976365079166374
FRMD6	0.1975420388010218
CRIM1	0.1975316048197502
