	p16.norm
IGFBP7	0.3082319275585592
DYNLT3	0.2761904742035387
TIMP1	0.2575992375588379
ATP6V1G1	0.2520600604387756
HIST1H1C	0.2459907780965392
UCHL1	0.244468712222706
LUM	0.2441632151259697
MYL9	0.2398757417092527
SERPINE2	0.2386053354061035
TGFBI	0.2347402739550393
HSPB1	0.2334650425290044
RABAC1	0.2276553025287813
PERP	0.2218960397592522
TPM2	0.2211972340762206
SRP14	0.2209121999002005
SERF2	0.2183770506627659
HIST1H4H	0.2165084575282615
HIST1H2AC	0.2142122293441063
ATP6V0E1	0.2122076406855907
CCND2	0.2108301889635687
NPC2	0.2104760457880382
ARF4	0.2059243508487906
HSPB6	0.2040469180477667
IGFBP4	0.2039467328573843
GPX3	0.1995607492356571
ATP6V1E1	0.196870627074415
ATP6V1F	0.1928907566198981
NPDC1	0.191888070671094
SAT1	0.1868872925068425
TMEM59	0.1862628367483015
SDCBP	0.1842331315189298
PRDX6	0.1801923762178657
GRN	0.1796351018689898
LINC02154	0.1745829588605164
HIST1H2BC	0.1713437101990184
RSU1	0.1693881368277793
MAP3K7CL	0.1675130974969007
SELENOW	0.1651416223495186
MGST1	0.1646032765134061
PSAP	0.1645767854691885
IFI6	0.164185547676812
DKK3	0.1634190979104734
TMEM159	0.1627046049380763
SARAF	0.1625580400516323
DPP4	0.1618813654375809
ANKRD1	0.1615627684744073
MAP1LC3A	0.1605953046404973
ASAH1	0.1605073824409924
AK3	0.1586489682123106
CYTL1	0.1578191008112421
ATP5IF1	0.1568208628803461
PEA15	0.1565787427554953
GAS6	0.1557579477415918
CYB5R1	0.1557544487217055
NNMT	0.1556375123624462
UBB	0.155486572163359
LRPAP1	0.1553252592609279
UBL5	0.1550979787445002
CSTB	0.1547715762122128
MFGE8	0.1538413395513555
CALB2	0.15280683536744
S100A13	0.1526253471991726
PRDX1	0.1518556575679327
CYB5R3	0.1518438447565933
SERINC2	0.1512868430229314
PPP2R1A	0.1507508278738698
BNIP3L	0.1501750437268343
EGFL7	0.1494965406326652
PKM	0.1494488528213329
PRDX2	0.1489743024650057
TXNIP	0.1471129375530464
TAGLN	0.1466251390265187
ANXA5	0.1462290661781984
ANTXR1	0.1457445025072743
GABARAPL1	0.1450125561231894
GSTM3	0.1449609092345811
HLA-C	0.1438300928083604
CYSTM1	0.1430893068867641
GSTP1	0.1417406048938111
HSD17B14	0.1411253871758764
UQCR11	0.1407557403391638
CADM1	0.1404158156458517
KCNJ2	0.1398320489800463
ETHE1	0.1396175909742498
BCAP31	0.1391686001873384
PRPS1	0.1388791974993777
MYOZ2	0.1386765246388381
PSG9	0.1379593305074079
C15orf48	0.1371657103251436
YPEL5	0.1370218848643636
C9orf16	0.1358397186776488
EPAS1	0.1357289877143308
PLXDC2	0.135576491655412
C5orf46	0.1354547838096656
NDUFA1	0.1352806744049085
SERPINI1	0.1342371428701682
EFEMP1	0.1333910348666264
PTGDS	0.1330401797119502
MICA	0.1326240317581875
CTSF	0.1319608871030717
ATP6AP2	0.130482611381331
SOD2	0.1298998213406282
PKP2	0.1297423742180973
COX14	0.1291635298799403
SEC22B	0.1288112346859601
CAMLG	0.1287421207226319
DDA1	0.1272200853199696
SELENOM	0.1267705865602705
TYRP1	0.1264571892920426
RGCC	0.1263710819085986
AMFR	0.1263390057840555
OPN3	0.1262646068367469
PPP1R3C	0.1258193736808755
SERINC3	0.1231652686057448
TOMM7	0.1231139439936132
FBXO2	0.1230162577312044
TXN	0.1229787066226379
CTSD	0.1227338409005366
DNER	0.1218902415092391
MMP2	0.1218633633093335
MMP24OS	0.1218365289158193
CERCAM	0.1217749985662935
NDUFA11	0.1217613833444189
OSTM1	0.12148045055542
ATOX1	0.1203288820674825
ETFB	0.1198093902504418
IL32	0.119294895861372
NUPR1	0.1192833180549623
CNN1	0.1192620630585265
RASSF3	0.1187164672407643
CYBA	0.1181911136705902
ARMCX3	0.1176801389422677
PAM	0.1175269108309107
SERINC1	0.1174441115702521
HIST2H2BE	0.1169958744068706
ANXA1	0.1152712155023911
LIPH	0.1152547944844484
CHPF	0.1149589868801523
AK4	0.1149134697509038
CREG1	0.1148341682205633
DCTN1	0.1144757297813108
ATP5F1E	0.113622051172977
CDC42EP5	0.1132425257483568
PINK1	0.1131270212015055
MMP3	0.1128937141763801
OSTN-AS1	0.1125472822406116
FBXO32	0.11246192956154
EPHX1	0.1124468515461087
PDCD4	0.1118944835546447
CTSA	0.1117289338206028
DNAJB9	0.1111276992422643
OST4	0.1103266802290029
APOD	0.1099208379889026
CCND1	0.1094641795998954
PIK3IP1	0.1091183298142698
FUCA1	0.1088915311770717
PGK1	0.108856200552923
CD59	0.1085710512605194
PAMR1	0.1081357818424583
MFSD1	0.108068247376504
ITGB5	0.107960150511358
CD9	0.1077237674219742
REEP5	0.1076722872510585
FRMD6-AS2	0.1059692996509371
APP	0.1051785167061391
ARRDC4	0.104602778358024
PRSS23	0.1046012993548015
SCIN	0.1040024437760163
PRUNE2	0.103675115012698
TNFRSF11B	0.1029607465404485
DSP	0.1024868921661348
WNT5A	0.1021276212025146
HTRA1	0.1011646917971011
PLOD2	0.1009215670701841
SRPX2	0.100627965350282
SLC40A1	0.1006077825120665
TMEM178B	0.0993797201601013
HIST1H2AE	0.0985232851344223
IGFBP5	0.0982727471476763
PGRMC2	0.098070787932639
SPOCK1	0.0979796811098914
QPRT	0.097186423558634
TALDO1	0.0971349292882782
C1S	0.0968662868619457
FLRT2	0.0964994798919659
CTTN	0.0957641344991859
IGFBP3	0.0956047865547036
CFAP221	0.095515163760119
TRAM1	0.0946838116239884
TNFRSF21	0.0944011349057086
C4orf3	0.0941902759598758
MFAP4	0.094116768783696
APOL2	0.0940406386562758
TUBA4A	0.0938426941733546
SMYD3	0.0937423002028064
GSN	0.0923631033067419
FIBIN	0.0912666613794631
MOSPD1	0.0909715641344455
APLP1	0.0908988906247265
CRYAB	0.0906832136367805
