Cell_ID	Cell_ID2	major_tissue	fraction	mostly_one	tissue_label	Label_Fig1E
A Cardiomyocyte	A Cardiomyocyte	Cardiovasc	100	TRUE	Cardiovasc	Myocyte
Acinar	Acinar	Pancreas	99.78949925	TRUE	Pancreas	Other_Epith
Adipocyte	Adipocyte	AdipOm	73.70233702	TRUE	AdipOm	Stromal
Airway Goblet	Airway Goblet	GI	100	TRUE	GI	Other_Epith
Alpha 1	Alpha 1	Pancreas	100	TRUE	Pancreas	Islet
Alpha 2	Alpha 2	Pancreas	100	TRUE	Pancreas	Islet
Alveolar Cap Endo	Alveolar Cap Endo	Lung	99.18462434	TRUE	Lung	Endoth
Alveolar Type 1	Alveolar Type 1	Lung	99.96402878	TRUE	Lung	Other_Epith
Alveolar Type 2	Alveolar Type 2	Lung	99.98074331	TRUE	Lung	Other_Epith
Alveolar Type 2/Immune	Alveolar Type 2 (Immune)	Lung	99.30475087	TRUE	Lung	Other_Epith
Astrocyte 1	Astrocyte 1	Brain	99.88439306	TRUE	Brain	BrainGlia
Astrocyte 2	Astrocyte 2	Brain	99.03846154	TRUE	Brain	BrainGlia
BBB Endothelial	BBB Endothelial	Brain	83.77192982	TRUE	Brain	Endoth
Beta 1	Beta 1	Pancreas	100	TRUE	Pancreas	Islet
Beta 2	Beta 2	Pancreas	100	TRUE	Pancreas	Islet
Cardiac Fibroblast	Cardiac Fibroblast	Cardiovasc	98.92466622	TRUE	Cardiovasc	Stromal
Cardiac Pericyte 1	Cardiac Pericyte 1	Cardiovasc	99.88377499	TRUE	Cardiovasc	Mural
Cardiac Pericyte 2	Cardiac Pericyte 2	Cardiovasc	93.50649351	TRUE	Cardiovasc	Mural
Cardiac Pericyte 3	Cardiac Pericyte 3	Cardiovasc	87.22826087	TRUE	Cardiovasc	Mural
Cardiac Pericyte 4	Cardiac Pericyte 4	Cardiovasc	95.01557632	TRUE	Cardiovasc	Mural
Chief	Chief	GI	99.86044889	TRUE	GI	Other_Epith
