gRNA_id	gRNA_group	gRNA_type
sgRNA_21973546.21973929_21973765_gene	sgRNA_21973546.21973929	enh_target
sgRNA_21974016.21974250_21974172_gene	sgRNA_21974016.21974250	enh_target
sgRNA_21974016.21974250_21974191_gene	sgRNA_21974016.21974250	enh_target
sgRNA_21974016.21974250_21974196_gene	sgRNA_21974016.21974250	enh_target
sgRNA_21974016.21974250_21974251_gene	sgRNA_21974016.21974250	enh_target
sgRNA_21974382.21974628_21974467_gene	sgRNA_21974382.21974628	enh_target
sgRNA_21974382.21974628_21974523_gene	sgRNA_21974382.21974628	enh_target
sgRNA_21974382.21974628_21974617_gene	sgRNA_21974382.21974628	enh_target
sgRNA_21974644.21975049_21974982_gene	p16_tss1	tss_target
sgRNA_21974644.21975049_21974989_gene	p16_tss1	tss_target
sgRNA_21974644.21975049_21975008_gene	p16_tss1	tss_target
sgRNA_21974644.21975049_21975032_gene	p16_tss1	tss_target
sgRNA_21975050.21975381_21975067_gene	p16_tss2	tss_target
sgRNA_21975050.21975381_21975294_gene	p16_tss2	tss_target
sgRNA_21975050.21975381_21975306_gene	p16_tss2	tss_target
sgRNA_21975050.21975381_21975309_gene	p16_tss2	tss_target
sgRNA_21975473.21975815_21975584_gene	p16_tss3	tss_target
sgRNA_21975473.21975815_21975679_gene	p16_tss3	tss_target
sgRNA_21975473.21975815_21975682_gene	p16_tss3	tss_target
sgRNA_21975473.21975815_21975716_gene	p16_tss3	tss_target
sgRNA_21975838.21975990_21975893_gene	sgRNA_21975838.21975990	enh_target
sgRNA_21975838.21975990_21975937_gene	sgRNA_21975838.21975990	enh_target
sgRNA_21976337.21976594_21976425_gene	sgRNA_21976337.21976594	enh_target
sgRNA_21976337.21976594_21976434_gene	sgRNA_21976337.21976594	enh_target
sgRNA_21976337.21976594_21976440_gene	sgRNA_21976337.21976594	enh_target
sgRNA_21976337.21976594_21976443_gene	sgRNA_21976337.21976594	enh_target
sgRNA_21982447.21983001_21982837_gene	sgRNA_21982447.21983001	enh_target
sgRNA_21982447.21983001_21982957_gene	sgRNA_21982447.21983001	enh_target
sgRNA_21982447.21983001_21982966_gene	sgRNA_21982447.21983001	enh_target
sgRNA_21982447.21983001_21983001_gene	sgRNA_21982447.21983001	enh_target
sgRNA_21983545.21983947_21983675_gene	sgRNA_21983545.21983947	enh_target
sgRNA_21983545.21983947_21983759_gene	sgRNA_21983545.21983947	enh_target
sgRNA_21983545.21983947_21983839_gene	sgRNA_21983545.21983947	enh_target
sgRNA_21983545.21983947_21983884_gene	sgRNA_21983545.21983947	enh_target
sgRNA_21984590.21984842_21984707_gene	sgRNA_21984590.21984842	enh_target
sgRNA_21984590.21984842_21984730_gene	sgRNA_21984590.21984842	enh_target
sgRNA_21984590.21984842_21984745_gene	sgRNA_21984590.21984842	enh_target
sgRNA_21986846.21987062_21986874_gene	sgRNA_21986846.21987062	enh_target
sgRNA_21986846.21987062_21986954_gene	sgRNA_21986846.21987062	enh_target
sgRNA_21987490.21987738_21987621_gene	sgRNA_21987490.21987738	enh_target
sgRNA_21987490.21987738_21987691_gene	sgRNA_21987490.21987738	enh_target
sgRNA_21987490.21987738_21987715_gene	sgRNA_21987490.21987738	enh_target
sgRNA_21987490.21987738_21987739_gene	sgRNA_21987490.21987738	enh_target
sgRNA_21988344.21989004_21988643_gene	sgRNA_21988344.21989004	enh_target
sgRNA_21988344.21989004_21988773_gene	sgRNA_21988344.21989004	enh_target
sgRNA_21988344.21989004_21988927_gene	sgRNA_21988344.21989004	enh_target
sgRNA_21988344.21989004_21989001_gene	sgRNA_21988344.21989004	enh_target
sgRNA_21989448.21989770_21989604_gene	sgRNA_21989448.21989770	enh_target
sgRNA_21989448.21989770_21989608_gene	sgRNA_21989448.21989770	enh_target
sgRNA_21989448.21989770_21989618_gene	sgRNA_21989448.21989770	enh_target
sgRNA_21989448.21989770_21989748_gene	sgRNA_21989448.21989770	enh_target
sgRNA_21989846.21990150_21989850_gene	sgRNA_21989846.21990150	enh_target
sgRNA_21989846.21990150_21989891_gene	sgRNA_21989846.21990150	enh_target
sgRNA_21989846.21990150_21989918_gene	sgRNA_21989846.21990150	enh_target
sgRNA_21989846.21990150_21990131_gene	sgRNA_21989846.21990150	enh_target
sgRNA_21990239.21990463_21990332_gene	sgRNA_21990239.21990463	enh_target
sgRNA_21990239.21990463_21990360_gene	sgRNA_21990239.21990463	enh_target
sgRNA_21990239.21990463_21990451_gene	sgRNA_21990239.21990463	enh_target
sgRNA_21991610.21991964_21991666_gene	sgRNA_21991610.21991964	enh_target
sgRNA_21991610.21991964_21991696_gene	sgRNA_21991610.21991964	enh_target
sgRNA_21991610.21991964_21991847_gene	sgRNA_21991610.21991964	enh_target
sgRNA_21993497.21993792_21993586_gene	sgRNA_21993497.21993792	enh_target
sgRNA_21993497.21993792_21993605_gene	sgRNA_21993497.21993792	enh_target
sgRNA_21993497.21993792_21993648_gene	sgRNA_21993497.21993792	enh_target
sgRNA_21993497.21993792_21993759_gene	sgRNA_21993497.21993792	enh_target
sgRNA_21993910.21994234_21993930_gene	sgRNA_21993910.21994234	enh_target
sgRNA_21993910.21994234_21994006_gene	sgRNA_21993910.21994234	enh_target
sgRNA_21993910.21994234_21994111_gene	sgRNA_21993910.21994234	enh_target
sgRNA_21993910.21994234_21994196_gene	sgRNA_21993910.21994234	enh_target
sgRNA_21994286.21994909_21994555_gene	p14_tss	tss_target
sgRNA_21994286.21994909_21994611_gene	p14_tss	tss_target
sgRNA_21994286.21994909_21994745_gene	p14_tss	tss_target
sgRNA_21994286.21994909_21994907_gene	p14_tss	tss_target
sgRNA_21994938.21995219_21995093_gene	sgRNA_21994938.21995219	enh_target
sgRNA_21994938.21995219_21995106_gene	sgRNA_21994938.21995219	enh_target
sgRNA_21994938.21995219_21995111_gene	sgRNA_21994938.21995219	enh_target
sgRNA_21994938.21995219_21995177_gene	sgRNA_21994938.21995219	enh_target
sgRNA_21995566.21996214_21995571_gene	sgRNA_21995566.21996214	enh_target
sgRNA_21995566.21996214_21995894_gene	sgRNA_21995566.21996214	enh_target
sgRNA_21995566.21996214_21996099_gene	sgRNA_21995566.21996214	enh_target
sgRNA_21995566.21996214_21996148_gene	sgRNA_21995566.21996214	enh_target
sgRNA_21996463.21997024_21996766_gene	sgRNA_21996463.21997024	enh_target
sgRNA_21996463.21997024_21996783_gene	sgRNA_21996463.21997024	enh_target
sgRNA_21996463.21997024_21996817_gene	sgRNA_21996463.21997024	enh_target
sgRNA_21996463.21997024_21996888_gene	sgRNA_21996463.21997024	enh_target
sgRNA_21997856.21998917_21998126_gene	sgRNA_21997856.21998917	enh_target
sgRNA_21997856.21998917_21998157_gene	sgRNA_21997856.21998917	enh_target
sgRNA_21997856.21998917_21998235_gene	sgRNA_21997856.21998917	enh_target
sgRNA_21999779.22000849_22000143_gene	sgRNA_21999779.22000849	enh_target
sgRNA_21999779.22000849_22000175_gene	sgRNA_21999779.22000849	enh_target
sgRNA_21999779.22000849_22000190_gene	sgRNA_21999779.22000849	enh_target
sgRNA_22002098.22002371_22002212_gene	sgRNA_22002098.22002371	enh_target
sgRNA_22002098.22002371_22002264_gene	sgRNA_22002098.22002371	enh_target
sgRNA_22002098.22002371_22002266_gene	sgRNA_22002098.22002371	enh_target
sgRNA_22003089.22003510_22003167_gene	sgRNA_22003089.22003510	enh_target
sgRNA_22003089.22003510_22003170_gene	sgRNA_22003089.22003510	enh_target
sgRNA_22003089.22003510_22003231_gene	sgRNA_22003089.22003510	enh_target
sgRNA_22003089.22003510_22003324_gene	sgRNA_22003089.22003510	enh_target
sgRNA_22004994.22006412_22005206_gene	sgRNA_22004994.22006412	enh_target
sgRNA_22004994.22006412_22005514_gene	sgRNA_22004994.22006412	enh_target
sgRNA_22004994.22006412_22005834_gene	sgRNA_22004994.22006412	enh_target
sgRNA_22004994.22006412_22006024_gene	sgRNA_22004994.22006412	enh_target
sgRNA_22007045.22007577_22007087_gene	sgRNA_22007045.22007577	enh_target
sgRNA_22007045.22007577_22007290_gene	sgRNA_22007045.22007577	enh_target
sgRNA_22007045.22007577_22007342_gene	sgRNA_22007045.22007577	enh_target
sgRNA_22007045.22007577_22007465_gene	sgRNA_22007045.22007577	enh_target
sgRNA_22008685.22010033_22009395_gene	sgRNA_22008685.22010033	tss_target
sgRNA_22008685.22010033_22009590_gene	sgRNA_22008685.22010033	tss_target
sgRNA_22008685.22010033_22009593_gene	sgRNA_22008685.22010033	tss_target
sgRNA_22008685.22010033_22009640_gene	sgRNA_22008685.22010033	tss_target
sgRNA_22010987.22011368_22011009_gene	sgRNA_22010987.22011368	enh_target
sgRNA_22010987.22011368_22011082_gene	sgRNA_22010987.22011368	enh_target
sgRNA_22010987.22011368_22011106_gene	sgRNA_22010987.22011368	enh_target
sgRNA_22010987.22011368_22011112_gene	sgRNA_22010987.22011368	enh_target
sgRNA_22011678.22011875_22011689_gene	sgRNA_22011678.22011875	enh_target
sgRNA_22011678.22011875_22011790_gene	sgRNA_22011678.22011875	enh_target
sgRNA_22011678.22011875_22011851_gene	sgRNA_22011678.22011875	enh_target
sgRNA_22012420.22012801_22012472_gene	sgRNA_22012420.22012801	enh_target
sgRNA_22012420.22012801_22012552_gene	sgRNA_22012420.22012801	enh_target
sgRNA_22012420.22012801_22012651_gene	sgRNA_22012420.22012801	enh_target
sgRNA_22013364.22014150_22013517_gene	sgRNA_22013364.22014150	enh_target
sgRNA_22013364.22014150_22013701_gene	sgRNA_22013364.22014150	enh_target
sgRNA_22013364.22014150_22013751_gene	sgRNA_22013364.22014150	enh_target
sgRNA_22017094.22017559_22017385_gene	sgRNA_22017094.22017559	enh_target
sgRNA_22017094.22017559_22017404_gene	sgRNA_22017094.22017559	enh_target
sgRNA_22017094.22017559_22017443_gene	sgRNA_22017094.22017559	enh_target
sgRNA_22017094.22017559_22017491_gene	sgRNA_22017094.22017559	enh_target
sgRNA_22018778.22019211_22019026_gene	sgRNA_22018778.22019211	enh_target
sgRNA_22018778.22019211_22019054_gene	sgRNA_22018778.22019211	enh_target
sgRNA_22018778.22019211_22019066_gene	sgRNA_22018778.22019211	enh_target
sgRNA_22018778.22019211_22019121_gene	sgRNA_22018778.22019211	enh_target
sgRNA_22024399.22024900_22024402_gene	sgRNA_22024399.22024900	enh_target
sgRNA_22024399.22024900_22024593_gene	sgRNA_22024399.22024900	enh_target
sgRNA_22024399.22024900_22024804_gene	sgRNA_22024399.22024900	enh_target
sgRNA_22024399.22024900_22024882_gene	sgRNA_22024399.22024900	enh_target
sgRNA_22024935.22025519_22024960_gene	sgRNA_22024935.22025519	enh_target
sgRNA_22024935.22025519_22025008_gene	sgRNA_22024935.22025519	enh_target
sgRNA_22024935.22025519_22025062_gene	sgRNA_22024935.22025519	enh_target
sgRNA_22024935.22025519_22025400_gene	sgRNA_22024935.22025519	enh_target
sgRNA_22026676.22027216_22026816_gene	sgRNA_22026676.22027216	enh_target
sgRNA_22026676.22027216_22026820_gene	sgRNA_22026676.22027216	enh_target
sgRNA_22026676.22027216_22026914_gene	sgRNA_22026676.22027216	enh_target
sgRNA_22026676.22027216_22026942_gene	sgRNA_22026676.22027216	enh_target
sgRNA_22030026.22030603_22030259_gene	sgRNA_22030026.22030603	enh_target
sgRNA_22030026.22030603_22030273_gene	sgRNA_22030026.22030603	enh_target
sgRNA_22030026.22030603_22030302_gene	sgRNA_22030026.22030603	enh_target
sgRNA_22030026.22030603_22030567_gene	sgRNA_22030026.22030603	enh_target
sgRNA_22031727.22032006_22031793_gene	sgRNA_22031727.22032006	enh_target
sgRNA_22031727.22032006_22031808_gene	sgRNA_22031727.22032006	enh_target
sgRNA_22031727.22032006_22031838_gene	sgRNA_22031727.22032006	enh_target
sgRNA_22031727.22032006_22031891_gene	sgRNA_22031727.22032006	enh_target
sgRNA_22032041.22032331_22032123_gene	sgRNA_22032041.22032331	enh_target
sgRNA_22032041.22032331_22032236_gene	sgRNA_22032041.22032331	enh_target
sgRNA_22032041.22032331_22032255_gene	sgRNA_22032041.22032331	enh_target
sgRNA_22032980.22033516_22033348_gene	sgRNA_22032980.22033516	enh_target
sgRNA_22032980.22033516_22033364_gene	sgRNA_22032980.22033516	enh_target
sgRNA_22032980.22033516_22033491_gene	sgRNA_22032980.22033516	enh_target
sgRNA_22035585.22035946_22035714_gene	sgRNA_22035585.22035946	enh_target
sgRNA_22035585.22035946_22035841_gene	sgRNA_22035585.22035946	enh_target
sgRNA_22035585.22035946_22035855_gene	sgRNA_22035585.22035946	enh_target
sgRNA_22035585.22035946_22035920_gene	sgRNA_22035585.22035946	enh_target
sgRNA_22037288.22037595_22037346_gene	sgRNA_22037288.22037595	enh_target
sgRNA_22037288.22037595_22037357_gene	sgRNA_22037288.22037595	enh_target
sgRNA_22037288.22037595_22037427_gene	sgRNA_22037288.22037595	enh_target
sgRNA_22037947.22038388_22038256_gene	sgRNA_22037947.22038388	enh_target
sgRNA_22037947.22038388_22038259_gene	sgRNA_22037947.22038388	enh_target
sgRNA_22037947.22038388_22038280_gene	sgRNA_22037947.22038388	enh_target
sgRNA_22037947.22038388_22038281_gene	sgRNA_22037947.22038388	enh_target
sgRNA_22039302.22039598_22039381_gene	sgRNA_22039302.22039598	enh_target
sgRNA_22039302.22039598_22039387_gene	sgRNA_22039302.22039598	enh_target
sgRNA_22039302.22039598_22039433_gene	sgRNA_22039302.22039598	enh_target
sgRNA_22039302.22039598_22039530_gene	sgRNA_22039302.22039598	enh_target
sgRNA_22040763.22041162_22040803_gene	sgRNA_22040763.22041162	enh_target
sgRNA_22040763.22041162_22040863_gene	sgRNA_22040763.22041162	enh_target
sgRNA_22040763.22041162_22040912_gene	sgRNA_22040763.22041162	enh_target
sgRNA_22040763.22041162_22041056_gene	sgRNA_22040763.22041162	enh_target
sgRNA_22041786.22042153_22041940_gene	sgRNA_22041786.22042153	enh_target
sgRNA_22041786.22042153_22041961_gene	sgRNA_22041786.22042153	enh_target
sgRNA_22041786.22042153_22042057_gene	sgRNA_22041786.22042153	enh_target
sgRNA_22041786.22042153_22042133_gene	sgRNA_22041786.22042153	enh_target
sgRNA_22043926.22044126_22043927_gene	sgRNA_22043926.22044126	enh_target
sgRNA_22043926.22044126_22043932_gene	sgRNA_22043926.22044126	enh_target
sgRNA_22043926.22044126_22043974_gene	sgRNA_22043926.22044126	enh_target
sgRNA_22044591.22044945_22044649_gene	sgRNA_22044591.22044945	enh_target
sgRNA_22044591.22044945_22044785_gene	sgRNA_22044591.22044945	enh_target
sgRNA_22044591.22044945_22044807_gene	sgRNA_22044591.22044945	enh_target
sgRNA_22049453.22049789_22049504_gene	sgRNA_22049453.22049789	enh_target
sgRNA_22049453.22049789_22049519_gene	sgRNA_22049453.22049789	enh_target
sgRNA_22049453.22049789_22049533_gene	sgRNA_22049453.22049789	enh_target
sgRNA_22049453.22049789_22049676_gene	sgRNA_22049453.22049789	enh_target
sgRNA_22050387.22050900_22050446_gene	sgRNA_22050387.22050900	enh_target
sgRNA_22050387.22050900_22050509_gene	sgRNA_22050387.22050900	enh_target
sgRNA_22050387.22050900_22050573_gene	sgRNA_22050387.22050900	enh_target
sgRNA_22050387.22050900_22050721_gene	sgRNA_22050387.22050900	enh_target
sgRNA_22052069.22053048_22052661_gene	sgRNA_22052069.22053048	enh_target
sgRNA_22052069.22053048_22052671_gene	sgRNA_22052069.22053048	enh_target
sgRNA_22052069.22053048_22052828_gene	sgRNA_22052069.22053048	enh_target
sgRNA_22052069.22053048_22052831_gene	sgRNA_22052069.22053048	enh_target
sgRNA_22053682.22054045_22053811_gene	sgRNA_22053682.22054045	enh_target
sgRNA_22053682.22054045_22053819_gene	sgRNA_22053682.22054045	enh_target
sgRNA_22053682.22054045_22053839_gene	sgRNA_22053682.22054045	enh_target
sgRNA_22053682.22054045_22054018_gene	sgRNA_22053682.22054045	enh_target
sgRNA_22054180.22054370_22054250_gene	sgRNA_22054180.22054370	enh_target
