gRNA_id	gRNA_group	gRNA_type
safe.harbor_pre_01_gene	NTC1	non_target
safe.harbor_pre_02_gene	NTC1	non_target
safe.harbor_pre_03_gene	NTC1	non_target
safe.harbor_pre_04_gene	NTC1	non_target
safe.harbor_pre_05_gene	NTC2	non_target
safe.harbor_pre_06_gene	NTC2	non_target
safe.harbor_pre_07_gene	NTC2	non_target
safe.harbor_pre_08_gene	NTC2	non_target
safe.harbor_pre_09_gene	NTC3	non_target
safe.harbor_pre_10_gene	NTC3	non_target
safe.harbor_pre_11_gene	NTC3	non_target
safe.harbor_pre_12_gene	NTC3	non_target
safe.harbor_pre_13_gene	NTC4	non_target
safe.harbor_pre_14_gene	NTC4	non_target
safe.harbor_pre_15_gene	NTC4	non_target
safe.harbor_pre_16_gene	NTC4	non_target
safe.harbor_pre_17_gene	NTC5	non_target
safe.harbor_pre_18_gene	NTC5	non_target
safe.harbor_pre_19_gene	NTC5	non_target
safe.harbor_pre_20_gene	NTC5	non_target
safe.harbor_pre_21_gene	NTC6	non_target
safe.harbor_pre_22_gene	NTC6	non_target
safe.harbor_pre_23_gene	NTC6	non_target
safe.harbor_pre_24_gene	NTC6	non_target
safe.harbor_pre_25_gene	NTC7	non_target
safe.harbor_pre_26_gene	NTC7	non_target
safe.harbor_pre_27_gene	NTC7	non_target
safe.harbor_pre_28_gene	NTC7	non_target
safe.harbor_pre_29_gene	NTC8	non_target
safe.harbor_pre_30_gene	NTC8	non_target
safe.harbor_pre_31_gene	NTC8	non_target
safe.harbor_pre_32_gene	NTC8	non_target
safe.harbor_pre_33_gene	NTC9	non_target
safe.harbor_pre_34_gene	NTC9	non_target
safe.harbor_pre_35_gene	NTC9	non_target
safe.harbor_pre_36_gene	NTC9	non_target
safe.harbor_pre_37_gene	NTC10	non_target
safe.harbor_pre_38_gene	NTC10	non_target
safe.harbor_pre_39_gene	NTC10	non_target
safe.harbor_pre_40_gene	NTC10	non_target
safe.harbor_pre_41_gene	NTC11	non_target
safe.harbor_pre_42_gene	NTC11	non_target
safe.harbor_pre_43_gene	NTC11	non_target
safe.harbor_pre_44_gene	NTC11	non_target
safe.harbor_pre_45_gene	NTC12	non_target
safe.harbor_pre_46_gene	NTC12	non_target
safe.harbor_pre_47_gene	NTC12	non_target
safe.harbor_pre_48_gene	NTC12	non_target
safe.harbor_pre_49_gene	NTC13	non_target
safe.harbor_pre_50_gene	NTC13	non_target
safe.harbor_pre_51_gene	NTC13	non_target
safe.harbor_pre_52_gene	NTC13	non_target
safe.harbor_pre_53_gene	NTC14	non_target
safe.harbor_pre_54_gene	NTC14	non_target
safe.harbor_pre_55_gene	NTC14	non_target
safe.harbor_pre_56_gene	NTC14	non_target
safe.harbor_pre_57_gene	NTC15	non_target
safe.harbor_pre_58_gene	NTC15	non_target
safe.harbor_pre_59_gene	NTC15	non_target
safe.harbor_pre_60_gene	NTC15	non_target
safe.harbor_pre_61_gene	NTC16	non_target
safe.harbor_pre_62_gene	NTC16	non_target
safe.harbor_pre_63_gene	NTC16	non_target
safe.harbor_pre_64_gene	NTC16	non_target
safe.harbor_pre_65_gene	NTC17	non_target
safe.harbor_pre_66_gene	NTC17	non_target
safe.harbor_pre_67_gene	NTC17	non_target
safe.harbor_pre_68_gene	NTC17	non_target
safe.harbor_pre_69_gene	NTC18	non_target
safe.harbor_pre_70_gene	NTC18	non_target
safe.harbor_pre_71_gene	NTC18	non_target
safe.harbor_pre_72_gene	NTC18	non_target
safe.harbor_pre_73_gene	NTC19	non_target
safe.harbor_pre_74_gene	NTC19	non_target
safe.harbor_pre_75_gene	NTC19	non_target
safe.harbor_pre_76_gene	NTC19	non_target
safe.harbor_pre_77_gene	NTC20	non_target
safe.harbor_pre_78_gene	NTC20	non_target
safe.harbor_pre_79_gene	NTC20	non_target
safe.harbor_pre_80_gene	NTC20	non_target
safe.harbor_pre_81_gene	NTC21	non_target
safe.harbor_pre_82_gene	NTC21	non_target
safe.harbor_pre_83_gene	NTC21	non_target
sgRNA_21883622.21884011_21883721_gene	sgRNA_21883622.21884011	enh_target
sgRNA_21883622.21884011_21883723_gene	sgRNA_21883622.21884011	enh_target
sgRNA_21883622.21884011_21883762_gene	sgRNA_21883622.21884011	enh_target
sgRNA_21889623.21890192_21889832_gene	sgRNA_21889623.21890192	enh_target
sgRNA_21889623.21890192_21889961_gene	sgRNA_21889623.21890192	enh_target
sgRNA_21889623.21890192_21890153_gene	sgRNA_21889623.21890192	enh_target
sgRNA_21889623.21890192_21890193_gene	sgRNA_21889623.21890192	enh_target
sgRNA_21902048.21902508_21902168_gene	sgRNA_21902048.21902508	enh_target
sgRNA_21902048.21902508_21902257_gene	sgRNA_21902048.21902508	enh_target
sgRNA_21902048.21902508_21902285_gene	sgRNA_21902048.21902508	enh_target
sgRNA_21902048.21902508_21902315_gene	sgRNA_21902048.21902508	enh_target
sgRNA_21903297.21903761_21903554_gene	sgRNA_21903297.21903761	enh_target
sgRNA_21903297.21903761_21903560_gene	sgRNA_21903297.21903761	enh_target
sgRNA_21903297.21903761_21903697_gene	sgRNA_21903297.21903761	enh_target
sgRNA_21904489.21904691_21904503_gene	sgRNA_21904489.21904691	enh_target
sgRNA_21904489.21904691_21904563_gene	sgRNA_21904489.21904691	enh_target
sgRNA_21904489.21904691_21904565_gene	sgRNA_21904489.21904691	enh_target
sgRNA_21904489.21904691_21904577_gene	sgRNA_21904489.21904691	enh_target
sgRNA_21904827.21905164_21904867_gene	sgRNA_21904827.21905164	enh_target
sgRNA_21904827.21905164_21904918_gene	sgRNA_21904827.21905164	enh_target
sgRNA_21904827.21905164_21904976_gene	sgRNA_21904827.21905164	enh_target
sgRNA_21904827.21905164_21905008_gene	sgRNA_21904827.21905164	enh_target
sgRNA_21906895.21907254_21907162_gene	sgRNA_21906895.21907254	enh_target
sgRNA_21906895.21907254_21907165_gene	sgRNA_21906895.21907254	enh_target
sgRNA_21906895.21907254_21907169_gene	sgRNA_21906895.21907254	enh_target
sgRNA_21919590.21919906_21919687_gene	sgRNA_21919590.21919906	enh_target
sgRNA_21919590.21919906_21919733_gene	sgRNA_21919590.21919906	enh_target
sgRNA_21919590.21919906_21919736_gene	sgRNA_21919590.21919906	enh_target
sgRNA_21919590.21919906_21919749_gene	sgRNA_21919590.21919906	enh_target
sgRNA_21931517.21931760_21931554_gene	sgRNA_21931517.21931760	enh_target
sgRNA_21931517.21931760_21931576_gene	sgRNA_21931517.21931760	enh_target
sgRNA_21931517.21931760_21931630_gene	sgRNA_21931517.21931760	enh_target
sgRNA_21933887.21934239_21934045_gene	sgRNA_21933887.21934239	enh_target
sgRNA_21933887.21934239_21934069_gene	sgRNA_21933887.21934239	enh_target
sgRNA_21933887.21934239_21934153_gene	sgRNA_21933887.21934239	enh_target
sgRNA_21933887.21934239_21934158_gene	sgRNA_21933887.21934239	enh_target
sgRNA_21936083.21936630_21936245_gene	sgRNA_21936083.21936630	enh_target
sgRNA_21936083.21936630_21936251_gene	sgRNA_21936083.21936630	enh_target
sgRNA_21936083.21936630_21936289_gene	sgRNA_21936083.21936630	enh_target
sgRNA_21936083.21936630_21936332_gene	sgRNA_21936083.21936630	enh_target
sgRNA_21949048.21949358_21949077_gene	sgRNA_21949048.21949358	enh_target
sgRNA_21949048.21949358_21949210_gene	sgRNA_21949048.21949358	enh_target
sgRNA_21949048.21949358_21949267_gene	sgRNA_21949048.21949358	enh_target
sgRNA_21949048.21949358_21949326_gene	sgRNA_21949048.21949358	enh_target
sgRNA_21949747.21950002_21949816_gene	sgRNA_21949747.21950002	enh_target
sgRNA_21949747.21950002_21949840_gene	sgRNA_21949747.21950002	enh_target
sgRNA_21949747.21950002_21949843_gene	sgRNA_21949747.21950002	enh_target
sgRNA_21949747.21950002_21949945_gene	sgRNA_21949747.21950002	enh_target
sgRNA_21950432.21950893_21950445_gene	sgRNA_21950432.21950893	enh_target
sgRNA_21950432.21950893_21950586_gene	sgRNA_21950432.21950893	enh_target
sgRNA_21950432.21950893_21950844_gene	sgRNA_21950432.21950893	enh_target
sgRNA_21952893.21953162_21952906_gene	sgRNA_21952893.21953162	enh_target
sgRNA_21952893.21953162_21952926_gene	sgRNA_21952893.21953162	enh_target
sgRNA_21952893.21953162_21952994_gene	sgRNA_21952893.21953162	enh_target
sgRNA_21952893.21953162_21953134_gene	sgRNA_21952893.21953162	enh_target
sgRNA_21955669.21956088_21955714_gene	sgRNA_21955669.21956088	enh_target
sgRNA_21955669.21956088_21955895_gene	sgRNA_21955669.21956088	enh_target
sgRNA_21955669.21956088_21955900_gene	sgRNA_21955669.21956088	enh_target
sgRNA_21959853.21960015_21959885_gene	sgRNA_21959853.21960015	enh_target
sgRNA_21959853.21960015_21959896_gene	sgRNA_21959853.21960015	enh_target
sgRNA_21959853.21960015_21959900_gene	sgRNA_21959853.21960015	enh_target
sgRNA_21959853.21960015_21959967_gene	sgRNA_21959853.21960015	enh_target
sgRNA_21961653.21961902_21961728_gene	sgRNA_21961653.21961902	enh_target
sgRNA_21961653.21961902_21961752_gene	sgRNA_21961653.21961902	enh_target
sgRNA_21961653.21961902_21961759_gene	sgRNA_21961653.21961902	enh_target
sgRNA_21961653.21961902_21961817_gene	sgRNA_21961653.21961902	enh_target
sgRNA_21964186.21964500_21964472_gene	sgRNA_21964186.21964500	enh_target
sgRNA_21964186.21964500_21964492_gene	sgRNA_21964186.21964500	enh_target
sgRNA_21964186.21964500_21964500_gene	sgRNA_21964186.21964500	enh_target
sgRNA_21964910.21965507_21965156_gene	sgRNA_21964910.21965507	enh_target
sgRNA_21964910.21965507_21965238_gene	sgRNA_21964910.21965507	enh_target
sgRNA_21964910.21965507_21965277_gene	sgRNA_21964910.21965507	enh_target
sgRNA_21965574.21965827_21965648_gene	sgRNA_21965574.21965827	enh_target
sgRNA_21965574.21965827_21965686_gene	sgRNA_21965574.21965827	enh_target
sgRNA_21965574.21965827_21965741_gene	sgRNA_21965574.21965827	enh_target
sgRNA_21965574.21965827_21965801_gene	sgRNA_21965574.21965827	enh_target
sgRNA_21967673.21968059_21967847_gene	sgRNA_21967673.21968059	enh_target
sgRNA_21967673.21968059_21967891_gene	sgRNA_21967673.21968059	enh_target
sgRNA_21967673.21968059_21967925_gene	sgRNA_21967673.21968059	enh_target
sgRNA_21967673.21968059_21967935_gene	sgRNA_21967673.21968059	enh_target
sgRNA_21968332.21968667_21968362_gene	sgRNA_21968332.21968667	enh_target
sgRNA_21968332.21968667_21968489_gene	sgRNA_21968332.21968667	enh_target
sgRNA_21968332.21968667_21968561_gene	sgRNA_21968332.21968667	enh_target
sgRNA_21968332.21968667_21968628_gene	sgRNA_21968332.21968667	enh_target
sgRNA_21970423.21970667_21970439_gene	sgRNA_21970423.21970667	enh_target
sgRNA_21970423.21970667_21970466_gene	sgRNA_21970423.21970667	enh_target
sgRNA_21970423.21970667_21970490_gene	sgRNA_21970423.21970667	enh_target
sgRNA_21970423.21970667_21970587_gene	sgRNA_21970423.21970667	enh_target
sgRNA_21970669.21971071_21970772_gene	sgRNA_21970669.21971071	enh_target
sgRNA_21970669.21971071_21970776_gene	sgRNA_21970669.21971071	enh_target
sgRNA_21970669.21971071_21970916_gene	sgRNA_21970669.21971071	enh_target
sgRNA_21970669.21971071_21970981_gene	sgRNA_21970669.21971071	enh_target
sgRNA_21971240.21971874_21971414_gene	sgRNA_21971240.21971874	enh_target
sgRNA_21971240.21971874_21971419_gene	sgRNA_21971240.21971874	enh_target
sgRNA_21971240.21971874_21971528_gene	sgRNA_21971240.21971874	enh_target
sgRNA_21971240.21971874_21971620_gene	sgRNA_21971240.21971874	enh_target
sgRNA_21973546.21973929_21973621_gene	sgRNA_21973546.21973929	enh_target
sgRNA_21973546.21973929_21973652_gene	sgRNA_21973546.21973929	enh_target
sgRNA_21973546.21973929_21973760_gene	sgRNA_21973546.21973929	enh_target
