gene_id	gRNA_group	pair_type
p14.dialup	sgRNA_21974016.21974250	candidate
p16.dialup	sgRNA_21974382.21974628	candidate
p14.dialup	sgRNA_21974382.21974628	candidate
p16.dialup	p16_tss1	positive_control
p14.dialup	p16_tss1	candidate
p16.dialup	p16_tss2	positive_control
p14.dialup	p16_tss2	candidate
p16.dialup	p16_tss3	positive_control
p14.dialup	p16_tss3	candidate
p16.dialup	sgRNA_21975838.21975990	candidate
p14.dialup	sgRNA_21975838.21975990	candidate
p16.dialup	sgRNA_21976337.21976594	candidate
p14.dialup	sgRNA_21976337.21976594	candidate
p16.dialup	sgRNA_21982447.21983001	candidate
p14.dialup	sgRNA_21982447.21983001	candidate
p16.dialup	sgRNA_21983545.21983947	candidate
p14.dialup	sgRNA_21983545.21983947	candidate
p16.dialup	sgRNA_21984590.21984842	candidate
p14.dialup	sgRNA_21984590.21984842	candidate
p16.dialup	sgRNA_21986846.21987062	candidate
p14.dialup	sgRNA_21986846.21987062	candidate
p16.dialup	sgRNA_21987490.21987738	candidate
p14.dialup	sgRNA_21987490.21987738	candidate
p16.dialup	sgRNA_21988344.21989004	candidate
p14.dialup	sgRNA_21988344.21989004	candidate
p16.dialup	sgRNA_21989448.21989770	candidate
p14.dialup	sgRNA_21989448.21989770	candidate
p16.dialup	sgRNA_21989846.21990150	candidate
p14.dialup	sgRNA_21989846.21990150	candidate
p16.dialup	sgRNA_21990239.21990463	candidate
p14.dialup	sgRNA_21990239.21990463	candidate
p16.dialup	sgRNA_21991610.21991964	candidate
p14.dialup	sgRNA_21991610.21991964	candidate
p16.dialup	sgRNA_21993497.21993792	candidate
p14.dialup	sgRNA_21993497.21993792	candidate
p16.dialup	sgRNA_21993910.21994234	candidate
p14.dialup	sgRNA_21993910.21994234	candidate
p16.dialup	p14_tss	candidate
p14.dialup	p14_tss	positive_control
p16.dialup	sgRNA_21994938.21995219	candidate
p14.dialup	sgRNA_21994938.21995219	candidate
p16.dialup	sgRNA_21995566.21996214	candidate
p14.dialup	sgRNA_21995566.21996214	candidate
p16.dialup	sgRNA_21996463.21997024	candidate
p14.dialup	sgRNA_21996463.21997024	candidate
p16.dialup	sgRNA_21997856.21998917	candidate
p14.dialup	sgRNA_21997856.21998917	candidate
p16.dialup	sgRNA_21999779.22000849	candidate
p14.dialup	sgRNA_21999779.22000849	candidate
p16.dialup	sgRNA_22002098.22002371	candidate
p14.dialup	sgRNA_22002098.22002371	candidate
p16.dialup	sgRNA_22003089.22003510	candidate
p14.dialup	sgRNA_22003089.22003510	candidate
p16.dialup	sgRNA_22004994.22006412	candidate
p14.dialup	sgRNA_22004994.22006412	candidate
p16.dialup	sgRNA_22007045.22007577	candidate
p14.dialup	sgRNA_22007045.22007577	candidate
p16.dialup	sgRNA_22008685.22010033	candidate
p14.dialup	sgRNA_22008685.22010033	candidate
p16.dialup	sgRNA_22010987.22011368	candidate
p14.dialup	sgRNA_22010987.22011368	candidate
p16.dialup	sgRNA_22011678.22011875	candidate
p14.dialup	sgRNA_22011678.22011875	candidate
p16.dialup	sgRNA_22012420.22012801	candidate
p14.dialup	sgRNA_22012420.22012801	candidate
p16.dialup	sgRNA_22013364.22014150	candidate
p14.dialup	sgRNA_22013364.22014150	candidate
p16.dialup	sgRNA_22017094.22017559	candidate
p14.dialup	sgRNA_22017094.22017559	candidate
p16.dialup	sgRNA_22018778.22019211	candidate
p14.dialup	sgRNA_22018778.22019211	candidate
p16.dialup	sgRNA_22024399.22024900	candidate
p14.dialup	sgRNA_22024399.22024900	candidate
p16.dialup	sgRNA_22024935.22025519	candidate
p14.dialup	sgRNA_22024935.22025519	candidate
p16.dialup	sgRNA_22026676.22027216	candidate
p14.dialup	sgRNA_22026676.22027216	candidate
p16.dialup	sgRNA_22030026.22030603	candidate
p14.dialup	sgRNA_22030026.22030603	candidate
p16.dialup	sgRNA_22031727.22032006	candidate
p14.dialup	sgRNA_22031727.22032006	candidate
p16.dialup	sgRNA_22032041.22032331	candidate
p14.dialup	sgRNA_22032041.22032331	candidate
p16.dialup	sgRNA_22032980.22033516	candidate
p14.dialup	sgRNA_22032980.22033516	candidate
p16.dialup	sgRNA_22035585.22035946	candidate
p14.dialup	sgRNA_22035585.22035946	candidate
p16.dialup	sgRNA_22037288.22037595	candidate
p14.dialup	sgRNA_22037288.22037595	candidate
p16.dialup	sgRNA_22037947.22038388	candidate
p14.dialup	sgRNA_22037947.22038388	candidate
p16.dialup	sgRNA_22039302.22039598	candidate
p14.dialup	sgRNA_22039302.22039598	candidate
p16.dialup	sgRNA_22040763.22041162	candidate
p14.dialup	sgRNA_22040763.22041162	candidate
p16.dialup	sgRNA_22041786.22042153	candidate
p14.dialup	sgRNA_22041786.22042153	candidate
p16.dialup	sgRNA_22043926.22044126	candidate
p14.dialup	sgRNA_22043926.22044126	candidate
p16.dialup	sgRNA_22044591.22044945	candidate
p14.dialup	sgRNA_22044591.22044945	candidate
p16.dialup	sgRNA_22049453.22049789	candidate
p14.dialup	sgRNA_22049453.22049789	candidate
p16.dialup	sgRNA_22050387.22050900	candidate
p14.dialup	sgRNA_22050387.22050900	candidate
p16.dialup	sgRNA_22052069.22053048	candidate
p14.dialup	sgRNA_22052069.22053048	candidate
p16.dialup	sgRNA_22053682.22054045	candidate
p14.dialup	sgRNA_22053682.22054045	candidate
p16.dialup	sgRNA_22054180.22054370	candidate
p14.dialup	sgRNA_22054180.22054370	candidate
p16.dialup	sgRNA_22054599.22054753	candidate
p14.dialup	sgRNA_22054599.22054753	candidate
p16.dialup	sgRNA_22055098.22055526	candidate
p14.dialup	sgRNA_22055098.22055526	candidate
p16.dialup	sgRNA_22056244.22056527	candidate
p14.dialup	sgRNA_22056244.22056527	candidate
p16.dialup	sgRNA_22059886.22060152	candidate
p14.dialup	sgRNA_22059886.22060152	candidate
p16.dialup	sgRNA_22062048.22062204	candidate
p14.dialup	sgRNA_22062048.22062204	candidate
p16.dialup	sgRNA_22064992.22065795	candidate
p14.dialup	sgRNA_22064992.22065795	candidate
p16.dialup	sgRNA_22066070.22068679	candidate
p14.dialup	sgRNA_22066070.22068679	candidate
p16.dialup	sgRNA_22075783.22076079	candidate
p14.dialup	sgRNA_22075783.22076079	candidate
p16.dialup	sgRNA_22078077.22078428	candidate
p14.dialup	sgRNA_22078077.22078428	candidate
p16.dialup	sgRNA_22078478.22078659	candidate
p14.dialup	sgRNA_22078478.22078659	candidate
p16.dialup	sgRNA_22079897.22080362	candidate
p14.dialup	sgRNA_22079897.22080362	candidate
p16.dialup	sgRNA_22083329.22083491	candidate
p14.dialup	sgRNA_22083329.22083491	candidate
p16.dialup	sgRNA_22084660.22085153	candidate
p14.dialup	sgRNA_22084660.22085153	candidate
p16.dialup	sgRNA_22088687.22089037	candidate
p14.dialup	sgRNA_22088687.22089037	candidate
p16.dialup	sgRNA_22097733.22098066	candidate
p14.dialup	sgRNA_22097733.22098066	candidate
p16.dialup	sgRNA_22098665.22099204	candidate
p14.dialup	sgRNA_22098665.22099204	candidate
p16.dialup	sgRNA_22100742.22100978	candidate
p14.dialup	sgRNA_22100742.22100978	candidate
p16.dialup	sgRNA_22102660.22103014	candidate
p14.dialup	sgRNA_22102660.22103014	candidate
p16.dialup	sgRNA_22103197.22103638	candidate
p14.dialup	sgRNA_22103197.22103638	candidate
p16.dialup	sgRNA_22107196.22107619	candidate
p14.dialup	sgRNA_22107196.22107619	candidate
p16.dialup	sgRNA_22107679.22107951	candidate
p14.dialup	sgRNA_22107679.22107951	candidate
p16.dialup	sgRNA_22108542.22108924	candidate
p14.dialup	sgRNA_22108542.22108924	candidate
p16.dialup	sgRNA_22109107.22109299	candidate
p14.dialup	sgRNA_22109107.22109299	candidate
p16.dialup	sgRNA_22110048.22110235	candidate
p14.dialup	sgRNA_22110048.22110235	candidate
p16.dialup	sgRNA_22111189.22111552	candidate
p14.dialup	sgRNA_22111189.22111552	candidate
p16.dialup	sgRNA_22111884.22112211	candidate
p14.dialup	sgRNA_22111884.22112211	candidate
p16.dialup	sgRNA_22114639.22115733	candidate
p14.dialup	sgRNA_22114639.22115733	candidate
p16.dialup	sgRNA_22117396.22117775	candidate
p14.dialup	sgRNA_22117396.22117775	candidate
p16.dialup	sgRNA_22117784.22118022	candidate
p14.dialup	sgRNA_22117784.22118022	candidate
p16.dialup	sgRNA_22118100.22118351	candidate
p14.dialup	sgRNA_22118100.22118351	candidate
p16.dialup	sgRNA_22118558.22118792	candidate
p14.dialup	sgRNA_22118558.22118792	candidate
p16.dialup	sgRNA_22119168.22119366	candidate
p14.dialup	sgRNA_22119168.22119366	candidate
p16.dialup	sgRNA_22119639.22119853	candidate
p14.dialup	sgRNA_22119639.22119853	candidate
p16.dialup	sgRNA_22120609.22120986	candidate
p14.dialup	sgRNA_22120609.22120986	candidate
p16.dialup	sgRNA_22121333.22121499	candidate
p14.dialup	sgRNA_22121333.22121499	candidate
p16.dialup	sgRNA_22124373.22124582	candidate
p14.dialup	sgRNA_22124373.22124582	candidate
p16.dialup	sgRNA_22124598.22124976	candidate
p14.dialup	sgRNA_22124598.22124976	candidate
p16.dialup	sgRNA_22125328.22125519	candidate
p14.dialup	sgRNA_22125328.22125519	candidate
p16.dialup	sgRNA_22129183.22129538	candidate
p14.dialup	sgRNA_22129183.22129538	candidate
p16.dialup	sgRNA_22136699.22137102	candidate
p14.dialup	sgRNA_22136699.22137102	candidate
p16.dialup	sgRNA_22139099.22139306	candidate
p14.dialup	sgRNA_22139099.22139306	candidate
p16.dialup	sgRNA_22141948.22142311	candidate
p14.dialup	sgRNA_22141948.22142311	candidate
p16.dialup	sgRNA_22142693.22143075	candidate
p14.dialup	sgRNA_22142693.22143075	candidate
p16.dialup	sgRNA_22144295.22144611	candidate
p14.dialup	sgRNA_22144295.22144611	candidate
p16.dialup	sgRNA_22147840.22148133	candidate
p14.dialup	sgRNA_22147840.22148133	candidate
p16.dialup	sgRNA_22148199.22148548	candidate
p14.dialup	sgRNA_22148199.22148548	candidate
p16.dialup	sgRNA_22148828.22149225	candidate
p14.dialup	sgRNA_22148828.22149225	candidate
p16.dialup	sgRNA_22152945.22153183	candidate
p14.dialup	sgRNA_22152945.22153183	candidate
p16.dialup	sgRNA_22154472.22154754	candidate
p14.dialup	sgRNA_22154472.22154754	candidate
p16.dialup	sgRNA_22154758.22154864	candidate
p14.dialup	sgRNA_22154758.22154864	candidate
p16.dialup	sgRNA_22156679.22156971	candidate
p14.dialup	sgRNA_22156679.22156971	candidate
p16.dialup	sgRNA_22157140.22157718	candidate
p14.dialup	sgRNA_22157140.22157718	candidate
p16.dialup	sgRNA_22158341.22158535	candidate
p14.dialup	sgRNA_22158341.22158535	candidate
p16.dialup	sgRNA_22158913.22159439	candidate
p14.dialup	sgRNA_22158913.22159439	candidate
p16.dialup	sgRNA_22159596.22159962	candidate
p14.dialup	sgRNA_22159596.22159962	candidate
p16.dialup	sgRNA_22165197.22165547	candidate
p14.dialup	sgRNA_22165197.22165547	candidate
p16.dialup	sgRNA_22166049.22166427	candidate
p14.dialup	sgRNA_22166049.22166427	candidate
p16.dialup	sgRNA_22167088.22167312	candidate
p14.dialup	sgRNA_22167088.22167312	candidate
p16.dialup	sgRNA_22168991.22169151	candidate
p14.dialup	sgRNA_22168991.22169151	candidate
p16.dialup	sgRNA_22169216.22169589	candidate
p14.dialup	sgRNA_22169216.22169589	candidate
p16.dialup	sgRNA_22170179.22170509	candidate
p14.dialup	sgRNA_22170179.22170509	candidate
p16.dialup	sgRNA_22171367.22171595	candidate
p14.dialup	sgRNA_22171367.22171595	candidate
p16.dialup	sgRNA_22175988.22176348	candidate
p14.dialup	sgRNA_22175988.22176348	candidate
p16.dialup	sgRNA_22176354.22176885	candidate
p14.dialup	sgRNA_22176354.22176885	candidate
p16.dialup	sgRNA_22183781.22184020	candidate
p14.dialup	sgRNA_22183781.22184020	candidate
p16.dialup	sgRNA_22186896.22187389	candidate
p14.dialup	sgRNA_22186896.22187389	candidate
p16.dialup	sgRNA_22192993.22193454	candidate
p14.dialup	sgRNA_22192993.22193454	candidate
p16.dialup	sgRNA_22197037.22197402	candidate
p14.dialup	sgRNA_22197037.22197402	candidate
p16.dialup	sgRNA_22200329.22200669	candidate
p14.dialup	sgRNA_22200329.22200669	candidate
p16.dialup	sgRNA_22201152.22201748	candidate
p14.dialup	sgRNA_22201152.22201748	candidate
p16.dialup	sgRNA_22203607.22203994	candidate
p14.dialup	sgRNA_22203607.22203994	candidate
p16.dialup	sgRNA_22204322.22204670	candidate
p14.dialup	sgRNA_22204322.22204670	candidate
p16.dialup	sgRNA_22206899.22207239	candidate
p14.dialup	sgRNA_22206899.22207239	candidate
p16.dialup	sgRNA_22208818.22209202	candidate
p14.dialup	sgRNA_22208818.22209202	candidate
p16.dialup	sgRNA_22210299.22210642	candidate
p14.dialup	sgRNA_22210299.22210642	candidate
p16.dialup	sgRNA_22210978.22211316	candidate
p14.dialup	sgRNA_22210978.22211316	candidate
p16.dialup	sgRNA_22211647.22212006	candidate
p14.dialup	sgRNA_22211647.22212006	candidate
p16.dialup	sgRNA_22212033.22212267	candidate
p14.dialup	sgRNA_22212033.22212267	candidate
p16.dialup	sgRNA_22214099.22214353	candidate
p14.dialup	sgRNA_22214099.22214353	candidate
p16.dialup	sgRNA_22214489.22215025	candidate
p14.dialup	sgRNA_22214489.22215025	candidate
p16.dialup	sgRNA_22216796.22217209	candidate
p14.dialup	sgRNA_22216796.22217209	candidate
p16.dialup	sgRNA_22228595.22228864	candidate
p14.dialup	sgRNA_22228595.22228864	candidate
p16.dialup	sgRNA_22237537.22237902	candidate
p14.dialup	sgRNA_22237537.22237902	candidate
p16.dialup	sgRNA_22237908.22238257	candidate
p14.dialup	sgRNA_22237908.22238257	candidate
p16.dialup	sgRNA_22240607.22241123	candidate
p14.dialup	sgRNA_22240607.22241123	candidate
p16.dialup	sgRNA_22244141.22244453	candidate
p14.dialup	sgRNA_22244141.22244453	candidate
p16.dialup	sgRNA_22244669.22245061	candidate
p14.dialup	sgRNA_22244669.22245061	candidate
p16.dialup	sgRNA_22256470.22256708	candidate
p14.dialup	sgRNA_22256470.22256708	candidate
p16.dialup	sgRNA_22257028.22257383	candidate
p14.dialup	sgRNA_22257028.22257383	candidate
p16.dialup	sgRNA_22257406.22257722	candidate
p14.dialup	sgRNA_22257406.22257722	candidate
CDKN2B	NTC1	negative_control
CDKN2B	NTC2	negative_control
CDKN2B	NTC3	negative_control
CDKN2B	NTC4	negative_control
CDKN2B	NTC5	negative_control
CDKN2B	NTC6	negative_control
CDKN2B	NTC7	negative_control
CDKN2B	NTC8	negative_control
CDKN2B	NTC9	negative_control
CDKN2B	NTC10	negative_control
CDKN2B	NTC11	negative_control
CDKN2B	NTC12	negative_control
CDKN2B	NTC13	negative_control
CDKN2B	NTC14	negative_control
CDKN2B	NTC15	negative_control
CDKN2B	NTC16	negative_control
CDKN2B	NTC17	negative_control
CDKN2B	NTC18	negative_control
CDKN2B	NTC19	negative_control
CDKN2B	NTC20	negative_control
CDKN2B	NTC21	negative_control
CDKN2B	sgRNA_21883622.21884011	candidate
CDKN2B	sgRNA_21889623.21890192	candidate
CDKN2B	sgRNA_21902048.21902508	candidate
CDKN2B	sgRNA_21903297.21903761	candidate
CDKN2B	sgRNA_21904489.21904691	candidate
CDKN2B	sgRNA_21904827.21905164	candidate
CDKN2B	sgRNA_21906895.21907254	candidate
CDKN2B	sgRNA_21919590.21919906	candidate
CDKN2B	sgRNA_21931517.21931760	candidate
CDKN2B	sgRNA_21933887.21934239	candidate
CDKN2B	sgRNA_21936083.21936630	candidate
CDKN2B	sgRNA_21949048.21949358	candidate
CDKN2B	sgRNA_21949747.21950002	candidate
CDKN2B	sgRNA_21950432.21950893	candidate
CDKN2B	sgRNA_21952893.21953162	candidate
CDKN2B	sgRNA_21955669.21956088	candidate
CDKN2B	sgRNA_21959853.21960015	candidate
CDKN2B	sgRNA_21961653.21961902	candidate
CDKN2B	sgRNA_21964186.21964500	candidate
CDKN2B	sgRNA_21964910.21965507	candidate
CDKN2B	sgRNA_21965574.21965827	candidate
CDKN2B	sgRNA_21967673.21968059	candidate
CDKN2B	sgRNA_21968332.21968667	candidate
CDKN2B	sgRNA_21970423.21970667	candidate
CDKN2B	sgRNA_21970669.21971071	candidate
CDKN2B	sgRNA_21971240.21971874	candidate
CDKN2B	sgRNA_21973546.21973929	candidate
CDKN2B	sgRNA_21974016.21974250	candidate
CDKN2B	sgRNA_21974382.21974628	candidate
CDKN2B	p16_tss1	candidate
CDKN2B	p16_tss2	candidate
CDKN2B	p16_tss3	candidate
CDKN2B	sgRNA_21975838.21975990	candidate
CDKN2B	sgRNA_21976337.21976594	candidate
CDKN2B	sgRNA_21982447.21983001	candidate
CDKN2B	sgRNA_21983545.21983947	candidate
CDKN2B	sgRNA_21984590.21984842	candidate
CDKN2B	sgRNA_21986846.21987062	candidate
CDKN2B	sgRNA_21987490.21987738	candidate
CDKN2B	sgRNA_21988344.21989004	candidate
CDKN2B	sgRNA_21989448.21989770	candidate
CDKN2B	sgRNA_21989846.21990150	candidate
CDKN2B	sgRNA_21990239.21990463	candidate
CDKN2B	sgRNA_21991610.21991964	candidate
CDKN2B	sgRNA_21993497.21993792	candidate
CDKN2B	sgRNA_21993910.21994234	candidate
CDKN2B	p14_tss	candidate
CDKN2B	sgRNA_21994938.21995219	candidate
CDKN2B	sgRNA_21995566.21996214	candidate
CDKN2B	sgRNA_21996463.21997024	candidate
CDKN2B	sgRNA_21997856.21998917	candidate
CDKN2B	sgRNA_21999779.22000849	candidate
CDKN2B	sgRNA_22002098.22002371	candidate
CDKN2B	sgRNA_22003089.22003510	candidate
CDKN2B	sgRNA_22004994.22006412	candidate
CDKN2B	sgRNA_22007045.22007577	candidate
CDKN2B	sgRNA_22008685.22010033	positive_control
CDKN2B	sgRNA_22010987.22011368	candidate
CDKN2B	sgRNA_22011678.22011875	candidate
CDKN2B	sgRNA_22012420.22012801	candidate
CDKN2B	sgRNA_22013364.22014150	candidate
CDKN2B	sgRNA_22017094.22017559	candidate
CDKN2B	sgRNA_22018778.22019211	candidate
CDKN2B	sgRNA_22024399.22024900	candidate
CDKN2B	sgRNA_22024935.22025519	candidate
CDKN2B	sgRNA_22026676.22027216	candidate
CDKN2B	sgRNA_22030026.22030603	candidate
CDKN2B	sgRNA_22031727.22032006	candidate
CDKN2B	sgRNA_22032041.22032331	candidate
CDKN2B	sgRNA_22032980.22033516	candidate
CDKN2B	sgRNA_22035585.22035946	candidate
CDKN2B	sgRNA_22037288.22037595	candidate
CDKN2B	sgRNA_22037947.22038388	candidate
CDKN2B	sgRNA_22039302.22039598	candidate
CDKN2B	sgRNA_22040763.22041162	candidate
CDKN2B	sgRNA_22041786.22042153	candidate
CDKN2B	sgRNA_22043926.22044126	candidate
CDKN2B	sgRNA_22044591.22044945	candidate
CDKN2B	sgRNA_22049453.22049789	candidate
CDKN2B	sgRNA_22050387.22050900	candidate
CDKN2B	sgRNA_22052069.22053048	candidate
CDKN2B	sgRNA_22053682.22054045	candidate
CDKN2B	sgRNA_22054180.22054370	candidate
CDKN2B	sgRNA_22054599.22054753	candidate
CDKN2B	sgRNA_22055098.22055526	candidate
CDKN2B	sgRNA_22056244.22056527	candidate
CDKN2B	sgRNA_22059886.22060152	candidate
CDKN2B	sgRNA_22062048.22062204	candidate
CDKN2B	sgRNA_22064992.22065795	candidate
CDKN2B	sgRNA_22066070.22068679	candidate
CDKN2B	sgRNA_22075783.22076079	candidate
CDKN2B	sgRNA_22078077.22078428	candidate
CDKN2B	sgRNA_22078478.22078659	candidate
CDKN2B	sgRNA_22079897.22080362	candidate
CDKN2B	sgRNA_22083329.22083491	candidate
CDKN2B	sgRNA_22084660.22085153	candidate
CDKN2B	sgRNA_22088687.22089037	candidate
CDKN2B	sgRNA_22097733.22098066	candidate
CDKN2B	sgRNA_22098665.22099204	candidate
CDKN2B	sgRNA_22100742.22100978	candidate
CDKN2B	sgRNA_22102660.22103014	candidate
CDKN2B	sgRNA_22103197.22103638	candidate
CDKN2B	sgRNA_22107196.22107619	candidate
CDKN2B	sgRNA_22107679.22107951	candidate
CDKN2B	sgRNA_22108542.22108924	candidate
CDKN2B	sgRNA_22109107.22109299	candidate
CDKN2B	sgRNA_22110048.22110235	candidate
CDKN2B	sgRNA_22111189.22111552	candidate
CDKN2B	sgRNA_22111884.22112211	candidate
CDKN2B	sgRNA_22114639.22115733	candidate
CDKN2B	sgRNA_22117396.22117775	candidate
CDKN2B	sgRNA_22117784.22118022	candidate
CDKN2B	sgRNA_22118100.22118351	candidate
CDKN2B	sgRNA_22118558.22118792	candidate
CDKN2B	sgRNA_22119168.22119366	candidate
CDKN2B	sgRNA_22119639.22119853	candidate
CDKN2B	sgRNA_22120609.22120986	candidate
CDKN2B	sgRNA_22121333.22121499	candidate
CDKN2B	sgRNA_22124373.22124582	candidate
CDKN2B	sgRNA_22124598.22124976	candidate
CDKN2B	sgRNA_22125328.22125519	candidate
CDKN2B	sgRNA_22129183.22129538	candidate
CDKN2B	sgRNA_22136699.22137102	candidate
CDKN2B	sgRNA_22139099.22139306	candidate
CDKN2B	sgRNA_22141948.22142311	candidate
CDKN2B	sgRNA_22142693.22143075	candidate
CDKN2B	sgRNA_22144295.22144611	candidate
CDKN2B	sgRNA_22147840.22148133	candidate
CDKN2B	sgRNA_22148199.22148548	candidate
CDKN2B	sgRNA_22148828.22149225	candidate
CDKN2B	sgRNA_22152945.22153183	candidate
CDKN2B	sgRNA_22154472.22154754	candidate
CDKN2B	sgRNA_22154758.22154864	candidate
CDKN2B	sgRNA_22156679.22156971	candidate
CDKN2B	sgRNA_22157140.22157718	candidate
CDKN2B	sgRNA_22158341.22158535	candidate
CDKN2B	sgRNA_22158913.22159439	candidate
CDKN2B	sgRNA_22159596.22159962	candidate
CDKN2B	sgRNA_22165197.22165547	candidate
CDKN2B	sgRNA_22166049.22166427	candidate
CDKN2B	sgRNA_22167088.22167312	candidate
CDKN2B	sgRNA_22168991.22169151	candidate
CDKN2B	sgRNA_22169216.22169589	candidate
CDKN2B	sgRNA_22170179.22170509	candidate
CDKN2B	sgRNA_22171367.22171595	candidate
CDKN2B	sgRNA_22175988.22176348	candidate
CDKN2B	sgRNA_22176354.22176885	candidate
CDKN2B	sgRNA_22183781.22184020	candidate
CDKN2B	sgRNA_22186896.22187389	candidate
CDKN2B	sgRNA_22192993.22193454	candidate
CDKN2B	sgRNA_22197037.22197402	candidate
CDKN2B	sgRNA_22200329.22200669	candidate
CDKN2B	sgRNA_22201152.22201748	candidate
CDKN2B	sgRNA_22203607.22203994	candidate
CDKN2B	sgRNA_22204322.22204670	candidate
CDKN2B	sgRNA_22206899.22207239	candidate
CDKN2B	sgRNA_22208818.22209202	candidate
CDKN2B	sgRNA_22210299.22210642	candidate
CDKN2B	sgRNA_22210978.22211316	candidate
CDKN2B	sgRNA_22211647.22212006	candidate
CDKN2B	sgRNA_22212033.22212267	candidate
CDKN2B	sgRNA_22214099.22214353	candidate
CDKN2B	sgRNA_22214489.22215025	candidate
CDKN2B	sgRNA_22216796.22217209	candidate
CDKN2B	sgRNA_22228595.22228864	candidate
CDKN2B	sgRNA_22237537.22237902	candidate
CDKN2B	sgRNA_22237908.22238257	candidate
CDKN2B	sgRNA_22240607.22241123	candidate
CDKN2B	sgRNA_22244141.22244453	candidate
CDKN2B	sgRNA_22244669.22245061	candidate
CDKN2B	sgRNA_22256470.22256708	candidate
CDKN2B	sgRNA_22257028.22257383	candidate
CDKN2B	sgRNA_22257406.22257722	candidate
