gene_id	gRNA_group	pair_type
p16.dialup	NTC1	negative_control
p14.dialup	NTC1	negative_control
p16.dialup	NTC2	negative_control
p14.dialup	NTC2	negative_control
p16.dialup	NTC3	negative_control
p14.dialup	NTC3	negative_control
p16.dialup	NTC4	negative_control
p14.dialup	NTC4	negative_control
p16.dialup	NTC5	negative_control
p14.dialup	NTC5	negative_control
p16.dialup	NTC6	negative_control
p14.dialup	NTC6	negative_control
p16.dialup	NTC7	negative_control
p14.dialup	NTC7	negative_control
p16.dialup	NTC8	negative_control
p14.dialup	NTC8	negative_control
p16.dialup	NTC9	negative_control
p14.dialup	NTC9	negative_control
p16.dialup	NTC10	negative_control
p14.dialup	NTC10	negative_control
p16.dialup	NTC11	negative_control
p14.dialup	NTC11	negative_control
p16.dialup	NTC12	negative_control
p14.dialup	NTC12	negative_control
p16.dialup	NTC13	negative_control
p14.dialup	NTC13	negative_control
p16.dialup	NTC14	negative_control
p14.dialup	NTC14	negative_control
p16.dialup	NTC15	negative_control
p14.dialup	NTC15	negative_control
p16.dialup	NTC16	negative_control
p14.dialup	NTC16	negative_control
p16.dialup	NTC17	negative_control
p14.dialup	NTC17	negative_control
p16.dialup	NTC18	negative_control
p14.dialup	NTC18	negative_control
p16.dialup	NTC19	negative_control
p14.dialup	NTC19	negative_control
p16.dialup	NTC20	negative_control
p14.dialup	NTC20	negative_control
p16.dialup	NTC21	negative_control
p14.dialup	NTC21	negative_control
p16.dialup	sgRNA_21883622.21884011	candidate
p14.dialup	sgRNA_21883622.21884011	candidate
p16.dialup	sgRNA_21889623.21890192	candidate
p14.dialup	sgRNA_21889623.21890192	candidate
p16.dialup	sgRNA_21902048.21902508	candidate
p14.dialup	sgRNA_21902048.21902508	candidate
p16.dialup	sgRNA_21903297.21903761	candidate
p14.dialup	sgRNA_21903297.21903761	candidate
p16.dialup	sgRNA_21904489.21904691	candidate
p14.dialup	sgRNA_21904489.21904691	candidate
p16.dialup	sgRNA_21904827.21905164	candidate
p14.dialup	sgRNA_21904827.21905164	candidate
p16.dialup	sgRNA_21906895.21907254	candidate
p14.dialup	sgRNA_21906895.21907254	candidate
p16.dialup	sgRNA_21919590.21919906	candidate
p14.dialup	sgRNA_21919590.21919906	candidate
p16.dialup	sgRNA_21931517.21931760	candidate
p14.dialup	sgRNA_21931517.21931760	candidate
p16.dialup	sgRNA_21933887.21934239	candidate
p14.dialup	sgRNA_21933887.21934239	candidate
p16.dialup	sgRNA_21936083.21936630	candidate
p14.dialup	sgRNA_21936083.21936630	candidate
p16.dialup	sgRNA_21949048.21949358	candidate
p14.dialup	sgRNA_21949048.21949358	candidate
p16.dialup	sgRNA_21949747.21950002	candidate
p14.dialup	sgRNA_21949747.21950002	candidate
p16.dialup	sgRNA_21950432.21950893	candidate
p14.dialup	sgRNA_21950432.21950893	candidate
p16.dialup	sgRNA_21952893.21953162	candidate
p14.dialup	sgRNA_21952893.21953162	candidate
p16.dialup	sgRNA_21955669.21956088	candidate
p14.dialup	sgRNA_21955669.21956088	candidate
p16.dialup	sgRNA_21959853.21960015	candidate
p14.dialup	sgRNA_21959853.21960015	candidate
p16.dialup	sgRNA_21961653.21961902	candidate
p14.dialup	sgRNA_21961653.21961902	candidate
p16.dialup	sgRNA_21964186.21964500	candidate
p14.dialup	sgRNA_21964186.21964500	candidate
p16.dialup	sgRNA_21964910.21965507	candidate
p14.dialup	sgRNA_21964910.21965507	candidate
p16.dialup	sgRNA_21965574.21965827	candidate
p14.dialup	sgRNA_21965574.21965827	candidate
p16.dialup	sgRNA_21967673.21968059	candidate
p14.dialup	sgRNA_21967673.21968059	candidate
p16.dialup	sgRNA_21968332.21968667	candidate
p14.dialup	sgRNA_21968332.21968667	candidate
p16.dialup	sgRNA_21970423.21970667	candidate
p14.dialup	sgRNA_21970423.21970667	candidate
p16.dialup	sgRNA_21970669.21971071	candidate
p14.dialup	sgRNA_21970669.21971071	candidate
p16.dialup	sgRNA_21971240.21971874	candidate
p14.dialup	sgRNA_21971240.21971874	candidate
p16.dialup	sgRNA_21973546.21973929	candidate
p14.dialup	sgRNA_21973546.21973929	candidate
p16.dialup	sgRNA_21974016.21974250	candidate
