gene_id	gRNA_group	pair_type
p16.dialup	sgRNA_21974644.21975049_21974989_gene	positive_control
MTAP	sgRNA_21974644.21975049_21974989_gene	candidate
DMRTA1	sgRNA_21974644.21975049_21974989_gene	candidate
IFNB1	sgRNA_21974644.21975049_21974989_gene	candidate
IFNE	sgRNA_21974644.21975049_21974989_gene	candidate
IFNWP19	sgRNA_21974644.21975049_21974989_gene	candidate
p14.dialup	sgRNA_21974644.21975049_21974989_gene	candidate
CDKN2B	sgRNA_21974644.21975049_21975008_gene	candidate
CDKN2B-AS1	sgRNA_21974644.21975049_21975008_gene	candidate
p16.dialup	sgRNA_21974644.21975049_21975008_gene	positive_control
MTAP	sgRNA_21974644.21975049_21975008_gene	candidate
DMRTA1	sgRNA_21974644.21975049_21975008_gene	candidate
IFNB1	sgRNA_21974644.21975049_21975008_gene	candidate
IFNE	sgRNA_21974644.21975049_21975008_gene	candidate
IFNWP19	sgRNA_21974644.21975049_21975008_gene	candidate
p14.dialup	sgRNA_21974644.21975049_21975008_gene	candidate
CDKN2B	sgRNA_21974644.21975049_21975032_gene	candidate
CDKN2B-AS1	sgRNA_21974644.21975049_21975032_gene	candidate
p16.dialup	sgRNA_21974644.21975049_21975032_gene	positive_control
MTAP	sgRNA_21974644.21975049_21975032_gene	candidate
DMRTA1	sgRNA_21974644.21975049_21975032_gene	candidate
IFNB1	sgRNA_21974644.21975049_21975032_gene	candidate	
IFNE	sgRNA_21974644.21975049_21975032_gene	candidate	
IFNWP19	sgRNA_21974644.21975049_21975032_gene	candidate	
p14.dialup	sgRNA_21974644.21975049_21975032_gene	candidate
CDKN2B	sgRNA_21975050.21975381_21975067_gene	candidate
CDKN2B-AS1	sgRNA_21975050.21975381_21975067_gene	candidate
p16.dialup	sgRNA_21975050.21975381_21975067_gene	positive_control
MTAP	sgRNA_21975050.21975381_21975067_gene	candidate
DMRTA1	sgRNA_21975050.21975381_21975067_gene	candidate
IFNB1	sgRNA_21975050.21975381_21975067_gene	candidate
IFNE	sgRNA_21975050.21975381_21975067_gene	candidate
IFNWP19	sgRNA_21975050.21975381_21975067_gene	candidate
p14.dialup	sgRNA_21975050.21975381_21975067_gene	candidate
CDKN2B	sgRNA_21975050.21975381_21975294_gene	candidate
CDKN2B-AS1	sgRNA_21975050.21975381_21975294_gene	candidate
p16.dialup	sgRNA_21975050.21975381_21975294_gene	positive_control
MTAP	sgRNA_21975050.21975381_21975294_gene	candidate
DMRTA1	sgRNA_21975050.21975381_21975294_gene	candidate
IFNB1	sgRNA_21975050.21975381_21975294_gene	candidate
IFNE	sgRNA_21975050.21975381_21975294_gene	candidate
IFNWP19	sgRNA_21975050.21975381_21975294_gene	candidate
p14.dialup	sgRNA_21975050.21975381_21975294_gene	candidate
CDKN2B	sgRNA_21975050.21975381_21975306_gene	candidate
CDKN2B-AS1	sgRNA_21975050.21975381_21975306_gene	candidate
p16.dialup	sgRNA_21975050.21975381_21975306_gene	positive_control
MTAP	sgRNA_21975050.21975381_21975306_gene	candidate
DMRTA1	sgRNA_21975050.21975381_21975306_gene	candidate
IFNB1	sgRNA_21975050.21975381_21975306_gene	candidate
IFNE	sgRNA_21975050.21975381_21975306_gene	candidate
IFNWP19	sgRNA_21975050.21975381_21975306_gene	candidate
p14.dialup	sgRNA_21975050.21975381_21975306_gene	candidate
CDKN2B	sgRNA_21975050.21975381_21975309_gene	candidate
CDKN2B-AS1	sgRNA_21975050.21975381_21975309_gene	candidate
p16.dialup	sgRNA_21975050.21975381_21975309_gene	positive_control
MTAP	sgRNA_21975050.21975381_21975309_gene	candidate
DMRTA1	sgRNA_21975050.21975381_21975309_gene	candidate
IFNB1	sgRNA_21975050.21975381_21975309_gene	candidate
IFNE	sgRNA_21975050.21975381_21975309_gene	candidate
IFNWP19	sgRNA_21975050.21975381_21975309_gene	candidate
p14.dialup	sgRNA_21975050.21975381_21975309_gene	candidate
CDKN2B	sgRNA_21975473.21975815_21975584_gene	candidate
CDKN2B-AS1	sgRNA_21975473.21975815_21975584_gene	candidate
p16.dialup	sgRNA_21975473.21975815_21975584_gene	candidate
MTAP	sgRNA_21975473.21975815_21975584_gene	candidate
DMRTA1	sgRNA_21975473.21975815_21975584_gene	candidate
IFNB1	sgRNA_21975473.21975815_21975584_gene	candidate
IFNE	sgRNA_21975473.21975815_21975584_gene	candidate
IFNWP19	sgRNA_21975473.21975815_21975584_gene	candidate
p14.dialup	sgRNA_21975473.21975815_21975584_gene	candidate
CDKN2B	sgRNA_21975473.21975815_21975679_gene	candidate
CDKN2B-AS1	sgRNA_21975473.21975815_21975679_gene	candidate
p16.dialup	sgRNA_21975473.21975815_21975679_gene	candidate
MTAP	sgRNA_21975473.21975815_21975679_gene	candidate
DMRTA1	sgRNA_21975473.21975815_21975679_gene	candidate
IFNB1	sgRNA_21975473.21975815_21975679_gene	candidate
IFNE	sgRNA_21975473.21975815_21975679_gene	candidate
IFNWP19	sgRNA_21975473.21975815_21975679_gene	candidate
p14.dialup	sgRNA_21975473.21975815_21975679_gene	candidate
CDKN2B	sgRNA_21975473.21975815_21975682_gene	candidate
CDKN2B-AS1	sgRNA_21975473.21975815_21975682_gene	candidate
p16.dialup	sgRNA_21975473.21975815_21975682_gene	candidate
MTAP	sgRNA_21975473.21975815_21975682_gene	candidate
DMRTA1	sgRNA_21975473.21975815_21975682_gene	candidate
IFNB1	sgRNA_21975473.21975815_21975682_gene	candidate
IFNE	sgRNA_21975473.21975815_21975682_gene	candidate
IFNWP19	sgRNA_21975473.21975815_21975682_gene	candidate
p14.dialup	sgRNA_21975473.21975815_21975682_gene	candidate
CDKN2B	sgRNA_21975473.21975815_21975716_gene	candidate
CDKN2B-AS1	sgRNA_21975473.21975815_21975716_gene	candidate
p16.dialup	sgRNA_21975473.21975815_21975716_gene	candidate
MTAP	sgRNA_21975473.21975815_21975716_gene	candidate
DMRTA1	sgRNA_21975473.21975815_21975716_gene	candidate
IFNB1	sgRNA_21975473.21975815_21975716_gene	candidate
IFNE	sgRNA_21975473.21975815_21975716_gene	candidate
IFNWP19	sgRNA_21975473.21975815_21975716_gene	candidate
p14.dialup	sgRNA_21975473.21975815_21975716_gene	candidate
CDKN2B	sgRNA_21975838.21975990_21975893_gene	candidate
CDKN2B-AS1	sgRNA_21975838.21975990_21975893_gene	candidate
p16.dialup	sgRNA_21975838.21975990_21975893_gene	candidate
MTAP	sgRNA_21975838.21975990_21975893_gene	candidate
DMRTA1	sgRNA_21975838.21975990_21975893_gene	candidate
IFNB1	sgRNA_21975838.21975990_21975893_gene	candidate
IFNE	sgRNA_21975838.21975990_21975893_gene	candidate
IFNWP19	sgRNA_21975838.21975990_21975893_gene	candidate
p14.dialup	sgRNA_21975838.21975990_21975893_gene	candidate
CDKN2B	sgRNA_21975838.21975990_21975937_gene	candidate
CDKN2B-AS1	sgRNA_21975838.21975990_21975937_gene	candidate
p16.dialup	sgRNA_21975838.21975990_21975937_gene	candidate
MTAP	sgRNA_21975838.21975990_21975937_gene	candidate
DMRTA1	sgRNA_21975838.21975990_21975937_gene	candidate
IFNB1	sgRNA_21975838.21975990_21975937_gene	candidate
IFNE	sgRNA_21975838.21975990_21975937_gene	candidate
IFNWP19	sgRNA_21975838.21975990_21975937_gene	candidate
p14.dialup	sgRNA_21975838.21975990_21975937_gene	candidate
CDKN2B	sgRNA_21976337.21976594_21976425_gene	candidate
CDKN2B-AS1	sgRNA_21976337.21976594_21976425_gene	candidate
p16.dialup	sgRNA_21976337.21976594_21976425_gene	candidate
MTAP	sgRNA_21976337.21976594_21976425_gene	candidate
DMRTA1	sgRNA_21976337.21976594_21976425_gene	candidate
IFNB1	sgRNA_21976337.21976594_21976425_gene	candidate
IFNE	sgRNA_21976337.21976594_21976425_gene	candidate
IFNWP19	sgRNA_21976337.21976594_21976425_gene	candidate
p14.dialup	sgRNA_21976337.21976594_21976425_gene	candidate
CDKN2B	sgRNA_21976337.21976594_21976434_gene	candidate
CDKN2B-AS1	sgRNA_21976337.21976594_21976434_gene	candidate
p16.dialup	sgRNA_21976337.21976594_21976434_gene	candidate
MTAP	sgRNA_21976337.21976594_21976434_gene	candidate
DMRTA1	sgRNA_21976337.21976594_21976434_gene	candidate
IFNB1	sgRNA_21976337.21976594_21976434_gene	candidate
IFNE	sgRNA_21976337.21976594_21976434_gene	candidate
IFNWP19	sgRNA_21976337.21976594_21976434_gene	candidate
p14.dialup	sgRNA_21976337.21976594_21976434_gene	candidate
CDKN2B	sgRNA_21976337.21976594_21976440_gene	candidate
CDKN2B-AS1	sgRNA_21976337.21976594_21976440_gene	candidate
p16.dialup	sgRNA_21976337.21976594_21976440_gene	candidate
MTAP	sgRNA_21976337.21976594_21976440_gene	candidate
DMRTA1	sgRNA_21976337.21976594_21976440_gene	candidate
IFNB1	sgRNA_21976337.21976594_21976440_gene	candidate
IFNE	sgRNA_21976337.21976594_21976440_gene	candidate
IFNWP19	sgRNA_21976337.21976594_21976440_gene	candidate
p14.dialup	sgRNA_21976337.21976594_21976440_gene	candidate
CDKN2B	sgRNA_21976337.21976594_21976443_gene	candidate
CDKN2B-AS1	sgRNA_21976337.21976594_21976443_gene	candidate
p16.dialup	sgRNA_21976337.21976594_21976443_gene	candidate
MTAP	sgRNA_21976337.21976594_21976443_gene	candidate
DMRTA1	sgRNA_21976337.21976594_21976443_gene	candidate
IFNB1	sgRNA_21976337.21976594_21976443_gene	candidate
IFNE	sgRNA_21976337.21976594_21976443_gene	candidate
IFNWP19	sgRNA_21976337.21976594_21976443_gene	candidate
p14.dialup	sgRNA_21976337.21976594_21976443_gene	candidate
CDKN2B	sgRNA_21982447.21983001_21982837_gene	candidate
CDKN2B-AS1	sgRNA_21982447.21983001_21982837_gene	candidate
p16.dialup	sgRNA_21982447.21983001_21982837_gene	candidate
MTAP	sgRNA_21982447.21983001_21982837_gene	candidate
DMRTA1	sgRNA_21982447.21983001_21982837_gene	candidate
IFNB1	sgRNA_21982447.21983001_21982837_gene	candidate
IFNE	sgRNA_21982447.21983001_21982837_gene	candidate
IFNWP19	sgRNA_21982447.21983001_21982837_gene	candidate
p14.dialup	sgRNA_21982447.21983001_21982837_gene	candidate
CDKN2B	sgRNA_21982447.21983001_21982957_gene	candidate
CDKN2B-AS1	sgRNA_21982447.21983001_21982957_gene	candidate
p16.dialup	sgRNA_21982447.21983001_21982957_gene	candidate
MTAP	sgRNA_21982447.21983001_21982957_gene	candidate
DMRTA1	sgRNA_21982447.21983001_21982957_gene	candidate
IFNB1	sgRNA_21982447.21983001_21982957_gene	candidate
IFNE	sgRNA_21982447.21983001_21982957_gene	candidate
IFNWP19	sgRNA_21982447.21983001_21982957_gene	candidate
p14.dialup	sgRNA_21982447.21983001_21982957_gene	candidate
CDKN2B	sgRNA_21982447.21983001_21982966_gene	candidate
CDKN2B-AS1	sgRNA_21982447.21983001_21982966_gene	candidate
p16.dialup	sgRNA_21982447.21983001_21982966_gene	candidate
MTAP	sgRNA_21982447.21983001_21982966_gene	candidate
DMRTA1	sgRNA_21982447.21983001_21982966_gene	candidate
IFNB1	sgRNA_21982447.21983001_21982966_gene	candidate
IFNE	sgRNA_21982447.21983001_21982966_gene	candidate
IFNWP19	sgRNA_21982447.21983001_21982966_gene	candidate
p14.dialup	sgRNA_21982447.21983001_21982966_gene	candidate
CDKN2B	sgRNA_21982447.21983001_21983001_gene	candidate
CDKN2B-AS1	sgRNA_21982447.21983001_21983001_gene	candidate
p16.dialup	sgRNA_21982447.21983001_21983001_gene	candidate
MTAP	sgRNA_21982447.21983001_21983001_gene	candidate
DMRTA1	sgRNA_21982447.21983001_21983001_gene	candidate
IFNB1	sgRNA_21982447.21983001_21983001_gene	candidate
IFNE	sgRNA_21982447.21983001_21983001_gene	candidate
IFNWP19	sgRNA_21982447.21983001_21983001_gene	candidate
p14.dialup	sgRNA_21982447.21983001_21983001_gene	candidate
CDKN2B	sgRNA_21983545.21983947_21983675_gene	candidate
CDKN2B-AS1	sgRNA_21983545.21983947_21983675_gene	candidate
p16.dialup	sgRNA_21983545.21983947_21983675_gene	candidate
MTAP	sgRNA_21983545.21983947_21983675_gene	candidate
DMRTA1	sgRNA_21983545.21983947_21983675_gene	candidate
IFNB1	sgRNA_21983545.21983947_21983675_gene	candidate
IFNE	sgRNA_21983545.21983947_21983675_gene	candidate
IFNWP19	sgRNA_21983545.21983947_21983675_gene	candidate
p14.dialup	sgRNA_21983545.21983947_21983675_gene	candidate
CDKN2B	sgRNA_21983545.21983947_21983759_gene	candidate
CDKN2B-AS1	sgRNA_21983545.21983947_21983759_gene	candidate
p16.dialup	sgRNA_21983545.21983947_21983759_gene	candidate
MTAP	sgRNA_21983545.21983947_21983759_gene	candidate
DMRTA1	sgRNA_21983545.21983947_21983759_gene	candidate
IFNB1	sgRNA_21983545.21983947_21983759_gene	candidate
IFNE	sgRNA_21983545.21983947_21983759_gene	candidate
IFNWP19	sgRNA_21983545.21983947_21983759_gene	candidate
p14.dialup	sgRNA_21983545.21983947_21983759_gene	candidate
CDKN2B	sgRNA_21983545.21983947_21983839_gene	candidate
CDKN2B-AS1	sgRNA_21983545.21983947_21983839_gene	candidate
p16.dialup	sgRNA_21983545.21983947_21983839_gene	candidate
MTAP	sgRNA_21983545.21983947_21983839_gene	candidate
DMRTA1	sgRNA_21983545.21983947_21983839_gene	candidate
IFNB1	sgRNA_21983545.21983947_21983839_gene	candidate
IFNE	sgRNA_21983545.21983947_21983839_gene	candidate
IFNWP19	sgRNA_21983545.21983947_21983839_gene	candidate
p14.dialup	sgRNA_21983545.21983947_21983839_gene	candidate
CDKN2B	sgRNA_21983545.21983947_21983884_gene	candidate
CDKN2B-AS1	sgRNA_21983545.21983947_21983884_gene	candidate
p16.dialup	sgRNA_21983545.21983947_21983884_gene	candidate
MTAP	sgRNA_21983545.21983947_21983884_gene	candidate
DMRTA1	sgRNA_21983545.21983947_21983884_gene	candidate
IFNB1	sgRNA_21983545.21983947_21983884_gene	candidate
IFNE	sgRNA_21983545.21983947_21983884_gene	candidate
IFNWP19	sgRNA_21983545.21983947_21983884_gene	candidate
p14.dialup	sgRNA_21983545.21983947_21983884_gene	candidate
CDKN2B	sgRNA_21984590.21984842_21984707_gene	candidate
CDKN2B-AS1	sgRNA_21984590.21984842_21984707_gene	candidate
p16.dialup	sgRNA_21984590.21984842_21984707_gene	candidate
MTAP	sgRNA_21984590.21984842_21984707_gene	candidate
DMRTA1	sgRNA_21984590.21984842_21984707_gene	candidate
IFNB1	sgRNA_21984590.21984842_21984707_gene	candidate
IFNE	sgRNA_21984590.21984842_21984707_gene	candidate
IFNWP19	sgRNA_21984590.21984842_21984707_gene	candidate
p14.dialup	sgRNA_21984590.21984842_21984707_gene	candidate
CDKN2B	sgRNA_21984590.21984842_21984730_gene	candidate
CDKN2B-AS1	sgRNA_21984590.21984842_21984730_gene	candidate
p16.dialup	sgRNA_21984590.21984842_21984730_gene	candidate
MTAP	sgRNA_21984590.21984842_21984730_gene	candidate
DMRTA1	sgRNA_21984590.21984842_21984730_gene	candidate
IFNB1	sgRNA_21984590.21984842_21984730_gene	candidate
IFNE	sgRNA_21984590.21984842_21984730_gene	candidate
IFNWP19	sgRNA_21984590.21984842_21984730_gene	candidate
p14.dialup	sgRNA_21984590.21984842_21984730_gene	candidate
CDKN2B	sgRNA_21984590.21984842_21984745_gene	candidate
CDKN2B-AS1	sgRNA_21984590.21984842_21984745_gene	candidate
p16.dialup	sgRNA_21984590.21984842_21984745_gene	candidate
MTAP	sgRNA_21984590.21984842_21984745_gene	candidate
DMRTA1	sgRNA_21984590.21984842_21984745_gene	candidate
IFNB1	sgRNA_21984590.21984842_21984745_gene	candidate
IFNE	sgRNA_21984590.21984842_21984745_gene	candidate
IFNWP19	sgRNA_21984590.21984842_21984745_gene	candidate
p14.dialup	sgRNA_21984590.21984842_21984745_gene	candidate
CDKN2B	sgRNA_21986846.21987062_21986874_gene	candidate
CDKN2B-AS1	sgRNA_21986846.21987062_21986874_gene	candidate
p16.dialup	sgRNA_21986846.21987062_21986874_gene	candidate
MTAP	sgRNA_21986846.21987062_21986874_gene	candidate
DMRTA1	sgRNA_21986846.21987062_21986874_gene	candidate
IFNB1	sgRNA_21986846.21987062_21986874_gene	candidate
IFNE	sgRNA_21986846.21987062_21986874_gene	candidate
IFNWP19	sgRNA_21986846.21987062_21986874_gene	candidate
p14.dialup	sgRNA_21986846.21987062_21986874_gene	candidate
CDKN2B	sgRNA_21986846.21987062_21986954_gene	candidate
CDKN2B-AS1	sgRNA_21986846.21987062_21986954_gene	candidate
p16.dialup	sgRNA_21986846.21987062_21986954_gene	candidate
MTAP	sgRNA_21986846.21987062_21986954_gene	candidate
DMRTA1	sgRNA_21986846.21987062_21986954_gene	candidate
IFNB1	sgRNA_21986846.21987062_21986954_gene	candidate
IFNE	sgRNA_21986846.21987062_21986954_gene	candidate
IFNWP19	sgRNA_21986846.21987062_21986954_gene	candidate
p14.dialup	sgRNA_21986846.21987062_21986954_gene	candidate
CDKN2B	sgRNA_21987490.21987738_21987621_gene	candidate
CDKN2B-AS1	sgRNA_21987490.21987738_21987621_gene	candidate
p16.dialup	sgRNA_21987490.21987738_21987621_gene	candidate
MTAP	sgRNA_21987490.21987738_21987621_gene	candidate
DMRTA1	sgRNA_21987490.21987738_21987621_gene	candidate
IFNB1	sgRNA_21987490.21987738_21987621_gene	candidate
IFNE	sgRNA_21987490.21987738_21987621_gene	candidate
IFNWP19	sgRNA_21987490.21987738_21987621_gene	candidate
p14.dialup	sgRNA_21987490.21987738_21987621_gene	candidate
CDKN2B	sgRNA_21987490.21987738_21987691_gene	candidate
CDKN2B-AS1	sgRNA_21987490.21987738_21987691_gene	candidate
p16.dialup	sgRNA_21987490.21987738_21987691_gene	candidate
MTAP	sgRNA_21987490.21987738_21987691_gene	candidate
DMRTA1	sgRNA_21987490.21987738_21987691_gene	candidate
IFNB1	sgRNA_21987490.21987738_21987691_gene	candidate
IFNE	sgRNA_21987490.21987738_21987691_gene	candidate
IFNWP19	sgRNA_21987490.21987738_21987691_gene	candidate
p14.dialup	sgRNA_21987490.21987738_21987691_gene	candidate
CDKN2B	sgRNA_21987490.21987738_21987715_gene	candidate
CDKN2B-AS1	sgRNA_21987490.21987738_21987715_gene	candidate
p16.dialup	sgRNA_21987490.21987738_21987715_gene	candidate
MTAP	sgRNA_21987490.21987738_21987715_gene	candidate
DMRTA1	sgRNA_21987490.21987738_21987715_gene	candidate
IFNB1	sgRNA_21987490.21987738_21987715_gene	candidate
IFNE	sgRNA_21987490.21987738_21987715_gene	candidate
IFNWP19	sgRNA_21987490.21987738_21987715_gene	candidate
p14.dialup	sgRNA_21987490.21987738_21987715_gene	candidate
CDKN2B	sgRNA_21987490.21987738_21987739_gene	candidate
CDKN2B-AS1	sgRNA_21987490.21987738_21987739_gene	candidate
p16.dialup	sgRNA_21987490.21987738_21987739_gene	candidate
MTAP	sgRNA_21987490.21987738_21987739_gene	candidate
DMRTA1	sgRNA_21987490.21987738_21987739_gene	candidate
IFNB1	sgRNA_21987490.21987738_21987739_gene	candidate
IFNE	sgRNA_21987490.21987738_21987739_gene	candidate
IFNWP19	sgRNA_21987490.21987738_21987739_gene	candidate
p14.dialup	sgRNA_21987490.21987738_21987739_gene	candidate
CDKN2B	sgRNA_21988344.21989004_21988643_gene	candidate
CDKN2B-AS1	sgRNA_21988344.21989004_21988643_gene	candidate
p16.dialup	sgRNA_21988344.21989004_21988643_gene	candidate
MTAP	sgRNA_21988344.21989004_21988643_gene	candidate
DMRTA1	sgRNA_21988344.21989004_21988643_gene	candidate
IFNB1	sgRNA_21988344.21989004_21988643_gene	candidate
IFNE	sgRNA_21988344.21989004_21988643_gene	candidate
IFNWP19	sgRNA_21988344.21989004_21988643_gene	candidate
p14.dialup	sgRNA_21988344.21989004_21988643_gene	candidate
CDKN2B	sgRNA_21988344.21989004_21988773_gene	candidate
CDKN2B-AS1	sgRNA_21988344.21989004_21988773_gene	candidate
p16.dialup	sgRNA_21988344.21989004_21988773_gene	candidate
MTAP	sgRNA_21988344.21989004_21988773_gene	candidate
DMRTA1	sgRNA_21988344.21989004_21988773_gene	candidate
IFNB1	sgRNA_21988344.21989004_21988773_gene	candidate
IFNE	sgRNA_21988344.21989004_21988773_gene	candidate
IFNWP19	sgRNA_21988344.21989004_21988773_gene	candidate
p14.dialup	sgRNA_21988344.21989004_21988773_gene	candidate
CDKN2B	sgRNA_21988344.21989004_21988927_gene	candidate
CDKN2B-AS1	sgRNA_21988344.21989004_21988927_gene	candidate
p16.dialup	sgRNA_21988344.21989004_21988927_gene	candidate
MTAP	sgRNA_21988344.21989004_21988927_gene	candidate
DMRTA1	sgRNA_21988344.21989004_21988927_gene	candidate
IFNB1	sgRNA_21988344.21989004_21988927_gene	candidate
IFNE	sgRNA_21988344.21989004_21988927_gene	candidate
IFNWP19	sgRNA_21988344.21989004_21988927_gene	candidate
p14.dialup	sgRNA_21988344.21989004_21988927_gene	candidate
CDKN2B	sgRNA_21988344.21989004_21989001_gene	candidate
CDKN2B-AS1	sgRNA_21988344.21989004_21989001_gene	candidate
p16.dialup	sgRNA_21988344.21989004_21989001_gene	candidate
MTAP	sgRNA_21988344.21989004_21989001_gene	candidate
DMRTA1	sgRNA_21988344.21989004_21989001_gene	candidate
IFNB1	sgRNA_21988344.21989004_21989001_gene	candidate
IFNE	sgRNA_21988344.21989004_21989001_gene	candidate
IFNWP19	sgRNA_21988344.21989004_21989001_gene	candidate
p14.dialup	sgRNA_21988344.21989004_21989001_gene	candidate
CDKN2B	sgRNA_21989448.21989770_21989604_gene	candidate
CDKN2B-AS1	sgRNA_21989448.21989770_21989604_gene	candidate
p16.dialup	sgRNA_21989448.21989770_21989604_gene	candidate
MTAP	sgRNA_21989448.21989770_21989604_gene	candidate
DMRTA1	sgRNA_21989448.21989770_21989604_gene	candidate
IFNB1	sgRNA_21989448.21989770_21989604_gene	candidate
IFNE	sgRNA_21989448.21989770_21989604_gene	candidate
IFNWP19	sgRNA_21989448.21989770_21989604_gene	candidate
p14.dialup	sgRNA_21989448.21989770_21989604_gene	candidate
CDKN2B	sgRNA_21989448.21989770_21989608_gene	candidate
CDKN2B-AS1	sgRNA_21989448.21989770_21989608_gene	candidate
p16.dialup	sgRNA_21989448.21989770_21989608_gene	candidate
MTAP	sgRNA_21989448.21989770_21989608_gene	candidate
DMRTA1	sgRNA_21989448.21989770_21989608_gene	candidate
IFNB1	sgRNA_21989448.21989770_21989608_gene	candidate
IFNE	sgRNA_21989448.21989770_21989608_gene	candidate
IFNWP19	sgRNA_21989448.21989770_21989608_gene	candidate
p14.dialup	sgRNA_21989448.21989770_21989608_gene	candidate
CDKN2B	sgRNA_21989448.21989770_21989618_gene	candidate
CDKN2B-AS1	sgRNA_21989448.21989770_21989618_gene	candidate
p16.dialup	sgRNA_21989448.21989770_21989618_gene	candidate
MTAP	sgRNA_21989448.21989770_21989618_gene	candidate
DMRTA1	sgRNA_21989448.21989770_21989618_gene	candidate
IFNB1	sgRNA_21989448.21989770_21989618_gene	candidate
IFNE	sgRNA_21989448.21989770_21989618_gene	candidate
IFNWP19	sgRNA_21989448.21989770_21989618_gene	candidate
p14.dialup	sgRNA_21989448.21989770_21989618_gene	candidate
CDKN2B	sgRNA_21989448.21989770_21989748_gene	candidate
CDKN2B-AS1	sgRNA_21989448.21989770_21989748_gene	candidate
p16.dialup	sgRNA_21989448.21989770_21989748_gene	candidate
MTAP	sgRNA_21989448.21989770_21989748_gene	candidate
DMRTA1	sgRNA_21989448.21989770_21989748_gene	candidate
IFNB1	sgRNA_21989448.21989770_21989748_gene	candidate
IFNE	sgRNA_21989448.21989770_21989748_gene	candidate
IFNWP19	sgRNA_21989448.21989770_21989748_gene	candidate
p14.dialup	sgRNA_21989448.21989770_21989748_gene	candidate
CDKN2B	sgRNA_21989846.21990150_21989850_gene	candidate
CDKN2B-AS1	sgRNA_21989846.21990150_21989850_gene	candidate
p16.dialup	sgRNA_21989846.21990150_21989850_gene	candidate
MTAP	sgRNA_21989846.21990150_21989850_gene	candidate
DMRTA1	sgRNA_21989846.21990150_21989850_gene	candidate
IFNB1	sgRNA_21989846.21990150_21989850_gene	candidate
IFNE	sgRNA_21989846.21990150_21989850_gene	candidate
IFNWP19	sgRNA_21989846.21990150_21989850_gene	candidate
p14.dialup	sgRNA_21989846.21990150_21989850_gene	candidate
CDKN2B	sgRNA_21989846.21990150_21989891_gene	candidate
CDKN2B-AS1	sgRNA_21989846.21990150_21989891_gene	candidate
p16.dialup	sgRNA_21989846.21990150_21989891_gene	candidate
MTAP	sgRNA_21989846.21990150_21989891_gene	candidate
DMRTA1	sgRNA_21989846.21990150_21989891_gene	candidate
IFNB1	sgRNA_21989846.21990150_21989891_gene	candidate
IFNE	sgRNA_21989846.21990150_21989891_gene	candidate
IFNWP19	sgRNA_21989846.21990150_21989891_gene	candidate
p14.dialup	sgRNA_21989846.21990150_21989891_gene	candidate
CDKN2B	sgRNA_21989846.21990150_21989918_gene	candidate
CDKN2B-AS1	sgRNA_21989846.21990150_21989918_gene	candidate
p16.dialup	sgRNA_21989846.21990150_21989918_gene	candidate
MTAP	sgRNA_21989846.21990150_21989918_gene	candidate
DMRTA1	sgRNA_21989846.21990150_21989918_gene	candidate
IFNB1	sgRNA_21989846.21990150_21989918_gene	candidate
IFNE	sgRNA_21989846.21990150_21989918_gene	candidate
IFNWP19	sgRNA_21989846.21990150_21989918_gene	candidate
p14.dialup	sgRNA_21989846.21990150_21989918_gene	candidate
CDKN2B	sgRNA_21989846.21990150_21990131_gene	candidate
CDKN2B-AS1	sgRNA_21989846.21990150_21990131_gene	candidate
p16.dialup	sgRNA_21989846.21990150_21990131_gene	candidate
MTAP	sgRNA_21989846.21990150_21990131_gene	candidate
DMRTA1	sgRNA_21989846.21990150_21990131_gene	candidate
IFNB1	sgRNA_21989846.21990150_21990131_gene	candidate
IFNE	sgRNA_21989846.21990150_21990131_gene	candidate
IFNWP19	sgRNA_21989846.21990150_21990131_gene	candidate
p14.dialup	sgRNA_21989846.21990150_21990131_gene	candidate
CDKN2B	sgRNA_21990239.21990463_21990332_gene	candidate
CDKN2B-AS1	sgRNA_21990239.21990463_21990332_gene	candidate
p16.dialup	sgRNA_21990239.21990463_21990332_gene	candidate
MTAP	sgRNA_21990239.21990463_21990332_gene	candidate
DMRTA1	sgRNA_21990239.21990463_21990332_gene	candidate
IFNB1	sgRNA_21990239.21990463_21990332_gene	candidate
IFNE	sgRNA_21990239.21990463_21990332_gene	candidate
IFNWP19	sgRNA_21990239.21990463_21990332_gene	candidate
p14.dialup	sgRNA_21990239.21990463_21990332_gene	candidate
CDKN2B	sgRNA_21990239.21990463_21990360_gene	candidate
CDKN2B-AS1	sgRNA_21990239.21990463_21990360_gene	candidate
p16.dialup	sgRNA_21990239.21990463_21990360_gene	candidate
MTAP	sgRNA_21990239.21990463_21990360_gene	candidate
DMRTA1	sgRNA_21990239.21990463_21990360_gene	candidate
IFNB1	sgRNA_21990239.21990463_21990360_gene	candidate
IFNE	sgRNA_21990239.21990463_21990360_gene	candidate
IFNWP19	sgRNA_21990239.21990463_21990360_gene	candidate
p14.dialup	sgRNA_21990239.21990463_21990360_gene	candidate
CDKN2B	sgRNA_21990239.21990463_21990451_gene	candidate
CDKN2B-AS1	sgRNA_21990239.21990463_21990451_gene	candidate
p16.dialup	sgRNA_21990239.21990463_21990451_gene	candidate
MTAP	sgRNA_21990239.21990463_21990451_gene	candidate
DMRTA1	sgRNA_21990239.21990463_21990451_gene	candidate
IFNB1	sgRNA_21990239.21990463_21990451_gene	candidate
IFNE	sgRNA_21990239.21990463_21990451_gene	candidate
IFNWP19	sgRNA_21990239.21990463_21990451_gene	candidate
