gene_id	gRNA_group	pair_type
DMRTA1	safe.harbor_pre_19_gene	negative_control
IFNB1	safe.harbor_pre_19_gene	negative_control
IFNE	safe.harbor_pre_19_gene	negative_control
IFNWP19	safe.harbor_pre_19_gene	negative_control
p14.dialup	safe.harbor_pre_19_gene	negative_control
CDKN2B	safe.harbor_pre_20_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_20_gene	negative_control
p16.dialup	safe.harbor_pre_20_gene	negative_control
MTAP	safe.harbor_pre_20_gene	negative_control
DMRTA1	safe.harbor_pre_20_gene	negative_control
IFNB1	safe.harbor_pre_20_gene	negative_control
IFNE	safe.harbor_pre_20_gene	negative_control
IFNWP19	safe.harbor_pre_20_gene	negative_control
p14.dialup	safe.harbor_pre_20_gene	negative_control
CDKN2B	safe.harbor_pre_21_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_21_gene	negative_control
p16.dialup	safe.harbor_pre_21_gene	negative_control
MTAP	safe.harbor_pre_21_gene	negative_control
DMRTA1	safe.harbor_pre_21_gene	negative_control
IFNB1	safe.harbor_pre_21_gene	negative_control
IFNE	safe.harbor_pre_21_gene	negative_control
IFNWP19	safe.harbor_pre_21_gene	negative_control
p14.dialup	safe.harbor_pre_21_gene	negative_control
CDKN2B	safe.harbor_pre_22_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_22_gene	negative_control
p16.dialup	safe.harbor_pre_22_gene	negative_control
MTAP	safe.harbor_pre_22_gene	negative_control
DMRTA1	safe.harbor_pre_22_gene	negative_control
IFNB1	safe.harbor_pre_22_gene	negative_control
IFNE	safe.harbor_pre_22_gene	negative_control
IFNWP19	safe.harbor_pre_22_gene	negative_control
p14.dialup	safe.harbor_pre_22_gene	negative_control
CDKN2B	safe.harbor_pre_23_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_23_gene	negative_control
p16.dialup	safe.harbor_pre_23_gene	negative_control
MTAP	safe.harbor_pre_23_gene	negative_control
DMRTA1	safe.harbor_pre_23_gene	negative_control
IFNB1	safe.harbor_pre_23_gene	negative_control
IFNE	safe.harbor_pre_23_gene	negative_control
IFNWP19	safe.harbor_pre_23_gene	negative_control
p14.dialup	safe.harbor_pre_23_gene	negative_control
CDKN2B	safe.harbor_pre_24_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_24_gene	negative_control
p16.dialup	safe.harbor_pre_24_gene	negative_control
MTAP	safe.harbor_pre_24_gene	negative_control
DMRTA1	safe.harbor_pre_24_gene	negative_control
IFNB1	safe.harbor_pre_24_gene	negative_control
IFNE	safe.harbor_pre_24_gene	negative_control
IFNWP19	safe.harbor_pre_24_gene	negative_control
p14.dialup	safe.harbor_pre_24_gene	negative_control
CDKN2B	safe.harbor_pre_25_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_25_gene	negative_control
p16.dialup	safe.harbor_pre_25_gene	negative_control
MTAP	safe.harbor_pre_25_gene	negative_control
DMRTA1	safe.harbor_pre_25_gene	negative_control
IFNB1	safe.harbor_pre_25_gene	negative_control
IFNE	safe.harbor_pre_25_gene	negative_control
IFNWP19	safe.harbor_pre_25_gene	negative_control
p14.dialup	safe.harbor_pre_25_gene	negative_control
CDKN2B	safe.harbor_pre_26_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_26_gene	negative_control
p16.dialup	safe.harbor_pre_26_gene	negative_control
MTAP	safe.harbor_pre_26_gene	negative_control
DMRTA1	safe.harbor_pre_26_gene	negative_control
IFNB1	safe.harbor_pre_26_gene	negative_control
IFNE	safe.harbor_pre_26_gene	negative_control
IFNWP19	safe.harbor_pre_26_gene	negative_control
p14.dialup	safe.harbor_pre_26_gene	negative_control
CDKN2B	safe.harbor_pre_27_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_27_gene	negative_control
p16.dialup	safe.harbor_pre_27_gene	negative_control
MTAP	safe.harbor_pre_27_gene	negative_control
DMRTA1	safe.harbor_pre_27_gene	negative_control
IFNB1	safe.harbor_pre_27_gene	negative_control
IFNE	safe.harbor_pre_27_gene	negative_control
IFNWP19	safe.harbor_pre_27_gene	negative_control
p14.dialup	safe.harbor_pre_27_gene	negative_control
CDKN2B	safe.harbor_pre_28_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_28_gene	negative_control
p16.dialup	safe.harbor_pre_28_gene	negative_control
MTAP	safe.harbor_pre_28_gene	negative_control
DMRTA1	safe.harbor_pre_28_gene	negative_control
IFNB1	safe.harbor_pre_28_gene	negative_control
IFNE	safe.harbor_pre_28_gene	negative_control
IFNWP19	safe.harbor_pre_28_gene	negative_control
p14.dialup	safe.harbor_pre_28_gene	negative_control
CDKN2B	safe.harbor_pre_29_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_29_gene	negative_control
p16.dialup	safe.harbor_pre_29_gene	negative_control
MTAP	safe.harbor_pre_29_gene	negative_control
DMRTA1	safe.harbor_pre_29_gene	negative_control
IFNB1	safe.harbor_pre_29_gene	negative_control
IFNE	safe.harbor_pre_29_gene	negative_control
IFNWP19	safe.harbor_pre_29_gene	negative_control
p14.dialup	safe.harbor_pre_29_gene	negative_control
CDKN2B	safe.harbor_pre_30_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_30_gene	negative_control
p16.dialup	safe.harbor_pre_30_gene	negative_control
MTAP	safe.harbor_pre_30_gene	negative_control
DMRTA1	safe.harbor_pre_30_gene	negative_control
IFNB1	safe.harbor_pre_30_gene	negative_control
IFNE	safe.harbor_pre_30_gene	negative_control
IFNWP19	safe.harbor_pre_30_gene	negative_control
p14.dialup	safe.harbor_pre_30_gene	negative_control
CDKN2B	safe.harbor_pre_31_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_31_gene	negative_control
p16.dialup	safe.harbor_pre_31_gene	negative_control
MTAP	safe.harbor_pre_31_gene	negative_control
DMRTA1	safe.harbor_pre_31_gene	negative_control
IFNB1	safe.harbor_pre_31_gene	negative_control
IFNE	safe.harbor_pre_31_gene	negative_control
IFNWP19	safe.harbor_pre_31_gene	negative_control
p14.dialup	safe.harbor_pre_31_gene	negative_control
CDKN2B	safe.harbor_pre_32_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_32_gene	negative_control
p16.dialup	safe.harbor_pre_32_gene	negative_control
MTAP	safe.harbor_pre_32_gene	negative_control
DMRTA1	safe.harbor_pre_32_gene	negative_control
IFNB1	safe.harbor_pre_32_gene	negative_control
IFNE	safe.harbor_pre_32_gene	negative_control
IFNWP19	safe.harbor_pre_32_gene	negative_control
p14.dialup	safe.harbor_pre_32_gene	negative_control
CDKN2B	safe.harbor_pre_33_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_33_gene	negative_control
p16.dialup	safe.harbor_pre_33_gene	negative_control
MTAP	safe.harbor_pre_33_gene	negative_control
DMRTA1	safe.harbor_pre_33_gene	negative_control
IFNB1	safe.harbor_pre_33_gene	negative_control
IFNE	safe.harbor_pre_33_gene	negative_control
IFNWP19	safe.harbor_pre_33_gene	negative_control
p14.dialup	safe.harbor_pre_33_gene	negative_control
CDKN2B	safe.harbor_pre_34_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_34_gene	negative_control
p16.dialup	safe.harbor_pre_34_gene	negative_control
MTAP	safe.harbor_pre_34_gene	negative_control
DMRTA1	safe.harbor_pre_34_gene	negative_control
IFNB1	safe.harbor_pre_34_gene	negative_control
IFNE	safe.harbor_pre_34_gene	negative_control
IFNWP19	safe.harbor_pre_34_gene	negative_control
p14.dialup	safe.harbor_pre_34_gene	negative_control
CDKN2B	safe.harbor_pre_35_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_35_gene	negative_control
p16.dialup	safe.harbor_pre_35_gene	negative_control
MTAP	safe.harbor_pre_35_gene	negative_control
DMRTA1	safe.harbor_pre_35_gene	negative_control
IFNB1	safe.harbor_pre_35_gene	negative_control
IFNE	safe.harbor_pre_35_gene	negative_control
IFNWP19	safe.harbor_pre_35_gene	negative_control
p14.dialup	safe.harbor_pre_35_gene	negative_control
CDKN2B	safe.harbor_pre_36_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_36_gene	negative_control
p16.dialup	safe.harbor_pre_36_gene	negative_control
MTAP	safe.harbor_pre_36_gene	negative_control
DMRTA1	safe.harbor_pre_36_gene	negative_control
IFNB1	safe.harbor_pre_36_gene	negative_control
IFNE	safe.harbor_pre_36_gene	negative_control
IFNWP19	safe.harbor_pre_36_gene	negative_control
p14.dialup	safe.harbor_pre_36_gene	negative_control
CDKN2B	safe.harbor_pre_37_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_37_gene	negative_control
p16.dialup	safe.harbor_pre_37_gene	negative_control
MTAP	safe.harbor_pre_37_gene	negative_control
DMRTA1	safe.harbor_pre_37_gene	negative_control
IFNB1	safe.harbor_pre_37_gene	negative_control
IFNE	safe.harbor_pre_37_gene	negative_control
IFNWP19	safe.harbor_pre_37_gene	negative_control
p14.dialup	safe.harbor_pre_37_gene	negative_control
CDKN2B	safe.harbor_pre_38_gene	negative_control
CDKN2B-AS1	safe.harbor_pre_38_gene	negative_control
p16.dialup	safe.harbor_pre_38_gene	negative_control
MTAP	safe.harbor_pre_38_gene	negative_control
DMRTA1	safe.harbor_pre_38_gene	negative_control
IFNB1	safe.harbor_pre_38_gene	negative_control
IFNE	safe.harbor_pre_38_gene	negative_control
IFNWP19	safe.harbor_pre_38_gene	negative_control
