response_id	grna_group
CDKN2B	sgRNA_21904827.21905164_21904867_gene
p16.dialup	sgRNA_21904827.21905164_21904867_gene
p14.dialup	sgRNA_21904827.21905164_21904867_gene
CDKN2B	sgRNA_21904827.21905164_21904918_gene
p16.dialup	sgRNA_21904827.21905164_21904918_gene
p14.dialup	sgRNA_21904827.21905164_21904918_gene
CDKN2B	sgRNA_21904827.21905164_21904976_gene
p16.dialup	sgRNA_21904827.21905164_21904976_gene
p14.dialup	sgRNA_21904827.21905164_21904976_gene
CDKN2B	sgRNA_21904827.21905164_21905008_gene
p16.dialup	sgRNA_21904827.21905164_21905008_gene
p14.dialup	sgRNA_21904827.21905164_21905008_gene
CDKN2B	sgRNA_21906895.21907254_21907162_gene
p16.dialup	sgRNA_21906895.21907254_21907162_gene
p14.dialup	sgRNA_21906895.21907254_21907162_gene
CDKN2B	sgRNA_21906895.21907254_21907165_gene
p16.dialup	sgRNA_21906895.21907254_21907165_gene
p14.dialup	sgRNA_21906895.21907254_21907165_gene
CDKN2B	sgRNA_21906895.21907254_21907169_gene
p16.dialup	sgRNA_21906895.21907254_21907169_gene
p14.dialup	sgRNA_21906895.21907254_21907169_gene
CDKN2B	sgRNA_21919590.21919906_21919687_gene
p16.dialup	sgRNA_21919590.21919906_21919687_gene
p14.dialup	sgRNA_21919590.21919906_21919687_gene
CDKN2B	sgRNA_21919590.21919906_21919733_gene
p16.dialup	sgRNA_21919590.21919906_21919733_gene
p14.dialup	sgRNA_21919590.21919906_21919733_gene
CDKN2B	sgRNA_21919590.21919906_21919736_gene
p16.dialup	sgRNA_21919590.21919906_21919736_gene
p14.dialup	sgRNA_21919590.21919906_21919736_gene
CDKN2B	sgRNA_21919590.21919906_21919749_gene
p16.dialup	sgRNA_21919590.21919906_21919749_gene
p14.dialup	sgRNA_21919590.21919906_21919749_gene
CDKN2B	sgRNA_21931517.21931760_21931554_gene
p16.dialup	sgRNA_21931517.21931760_21931554_gene
p14.dialup	sgRNA_21931517.21931760_21931554_gene
CDKN2B	sgRNA_21931517.21931760_21931576_gene
p16.dialup	sgRNA_21931517.21931760_21931576_gene
p14.dialup	sgRNA_21931517.21931760_21931576_gene
CDKN2B	sgRNA_21931517.21931760_21931630_gene
p16.dialup	sgRNA_21931517.21931760_21931630_gene
p14.dialup	sgRNA_21931517.21931760_21931630_gene
CDKN2B	sgRNA_21933887.21934239_21934045_gene
p16.dialup	sgRNA_21933887.21934239_21934045_gene
p14.dialup	sgRNA_21933887.21934239_21934045_gene
CDKN2B	sgRNA_21933887.21934239_21934069_gene
p16.dialup	sgRNA_21933887.21934239_21934069_gene
p14.dialup	sgRNA_21933887.21934239_21934069_gene
CDKN2B	sgRNA_21933887.21934239_21934153_gene
p16.dialup	sgRNA_21933887.21934239_21934153_gene
p14.dialup	sgRNA_21933887.21934239_21934153_gene
CDKN2B	sgRNA_21933887.21934239_21934158_gene
p16.dialup	sgRNA_21933887.21934239_21934158_gene
p14.dialup	sgRNA_21933887.21934239_21934158_gene
CDKN2B	sgRNA_21936083.21936630_21936245_gene
p16.dialup	sgRNA_21936083.21936630_21936245_gene
p14.dialup	sgRNA_21936083.21936630_21936245_gene
CDKN2B	sgRNA_21936083.21936630_21936251_gene
p16.dialup	sgRNA_21936083.21936630_21936251_gene
p14.dialup	sgRNA_21936083.21936630_21936251_gene
