Tissue,CDKN2A-p14,CDKN2A-p16,CDKN2A,CDKN2B,CDKN2B-AS1
Kidney - Medulla,0.07,0.0325,0.1185245,1.807275,0.0349025
Testis,1.2162049861495843,0.029667590027700818,7.208493074792239,13.91546537396121,1.8190537396121893
Whole Blood,0.20254304635761583,0.009125827814569536,0.4395385827814568,1.1278230596026488,0.056847286092715235
Spleen,1.960497925311203,0.20560165975103736,2.675061825726138,7.156896265560168,0.6323201659751038
Esophagus - Muscularis,1.3106407766990298,0.1462135922330097,1.2858390291262132,5.940530485436889,0.3172330679611653
Small Intestine - Terminal Ileum,1.3290374331550794,0.11342245989304821,1.696369518716578,32.27910695187164,7.546741711229947
Esophagus - Mucosa,1.982684684684684,0.38526126126126126,2.744004144144143,60.20282162162161,0.19817918918918903
Esophagus - Gastroesophageal Junction,0.7242666666666673,0.11562666666666667,0.8184759733333333,4.7443896,0.23269397333333317
Cells - EBV-transformed lymphocytes,5.055,1.3093103448275865,7.5934310344827605,0.1946980287356322,0.22062448275862073
Cells - Cultured fibroblasts,6.885912698412696,2.527857142857143,8.662555555555558,12.186882539682534,0.5391130952380951
Minor Salivary Gland,0.4753703703703705,0.13969135802469132,0.758274444444444,11.927979629629625,0.14387443827160493
Colon - Transverse,0.4349753694581282,0.1548029556650246,0.6436968719211829,25.342691379310335,8.808594729064032
Vagina,0.8434615384615387,0.15455128205128213,1.3360544871794873,42.40124999999998,0.2941317948717949
Brain - Hypothalamus,0.20638613861386138,0.0817821782178218,0.3354214851485147,1.4880881188118817,0.08438293069306929
Prostate,0.7440816326530617,0.28857142857142865,1.1613420408163262,6.179573877551019,0.30854518367346917
Skin - Not Sun Exposed (Suprapubic),0.2799834437086091,0.07985099337748346,0.3986984933774841,23.550044701986725,0.07766312251655623
Heart - Left Ventricle,0.05664351851851852,0.07969907407407412,0.14347264814814809,0.8531930555555552,0.028158377314814787
Skin - Sun Exposed (Lower leg),0.2917689015691868,0.1035948644793153,0.45047115549215483,26.124857346647627,0.08312651640513558
Brain - Substantia nigra,0.32870503597122325,0.12798561151079135,0.47715654676259,0.9676949640287769,0.08861876978417266
Ovary,0.15394444444444444,0.08944444444444445,0.4479153888888892,2.5394611111111103,0.16215100000000016
Fallopian Tube,0.8066666666666666,0.40222222222222226,1.403211111111111,4.678666666666667,0.7174333333333334
Brain - Spinal cord (cervical c-1),0.6429559748427671,0.2555345911949686,1.0004615094339624,2.053027044025159,0.16561591194968564
Brain - Cortex,0.42949019607843103,0.18917647058823536,0.6640262745098042,1.4160372549019618,0.11396105882352942
Brain - Caudate (basal ganglia),0.47865853658536567,0.23499999999999996,0.6853720731707315,1.489423983739836,0.12369321951219511
Brain - Anterior cingulate cortex (BA24),0.30244318181818186,0.15954545454545455,0.4766038068181819,1.292041477272727,0.06641215909090908
Brain - Frontal Cortex (BA9),0.4982775119617222,0.25114832535885184,0.7362097129186607,1.7708344497607647,0.09961138755980863
Liver,0.06650442477876108,0.060132743362831864,0.158597349557522,0.5593453982300886,0.028202721238938043
Bladder,0.8028571428571428,0.4680952380952381,1.2983809523809524,6.920714285714286,0.2880366666666666
Uterus,0.2530281690140844,0.13845070422535205,0.5765909859154928,5.810244366197182,0.20005584507042257
Pituitary,9.389469964664308,6.913745583038868,16.377617667844532,8.091151943462899,2.563856183745582
Cervix - Endocervix,0.24899999999999994,0.231,0.78795,4.967499999999999,0.27884000000000003
Brain - Nucleus accumbens (basal ganglia),0.2390650406504066,0.09577235772357724,0.3620977235772357,1.1053772357723575,0.07239968699186994
Colon - Sigmoid,0.6123860589812335,0.25002680965147456,0.8933074262734579,5.135110991957101,1.2315748257372654
Brain - Amygdala,0.5495394736842104,0.3361842105263156,0.8477332894736843,2.3239776315789467,0.10967225657894737
Nerve - Tibial,0.814474959612277,0.6351211631663977,1.6786695153473357,8.27406946688208,0.34588164781906344
Lung,0.6142560553633215,0.4517128027681662,1.3863379584775068,18.650099653979247,0.4265443719723185
Brain - Cerebellum,0.44697095435684636,0.3134854771784234,0.702147925311203,1.0283688796680497,0.05564639834024895
Brain - Hippocampus,0.318477157360406,0.16309644670050755,0.4923155837563451,1.3549974619289347,0.08917944670050766
Brain - Putamen (basal ganglia),0.565024390243902,0.3727317073170732,0.819622926829268,1.323868780487804,0.10240277073170735
Heart - Atrial Appendage,0.03512820512820512,0.037668997668997686,0.10608986247086243,0.8399428904428918,0.023090400932400935
Pancreas,0.11527439024390247,0.13384146341463418,0.27247091463414597,1.0561598780487798,0.03927353963414636
Kidney - Cortex,0.07388235294117648,0.04999999999999999,0.17366036470588236,0.858132,0.033019941176470585
Artery - Aorta,1.1606944444444436,1.1619675925925927,1.9725767361111102,3.830715277777778,0.12048024999999997
Muscle - Skeletal,0.04341220423412203,0.0707098381070984,0.14380844956413452,6.809766002490657,0.024396003735990053
Artery - Coronary,1.4045833333333337,1.884333333333332,2.624114625000001,6.840770833333335,0.22954020833333333
Stomach,0.45690807799442923,0.3218941504178272,0.8027648467966577,3.5660362116991635,0.1275554763231198
Thyroid,0.34266462480857607,0.40185298621745846,0.8081390964777942,1.814122205206737,0.12982429249617145
Adipose - Visceral (Omentum),0.3742144177449166,0.37598890942698715,0.7504718484288361,18.135645101663602,0.2022154343807762
Adipose - Subcutaneous,0.3877978883861241,0.3477224736048264,0.7758688687782799,24.045318250377065,0.13634397435897438
Brain - Cerebellar Hemisphere,0.25683720930232556,0.1454883720930232,0.4133910697674418,0.5893879069767438,0.031530762790697685
Artery - Tibial,0.7898793363499251,1.072775263951735,1.5446235595776767,5.900612368024129,0.13742034690799393
