Tissue,CDKN2A.p14,CDKN2A.p16,CDKN2A,CDKN2B,MTAP,CDKN2B.AS1
BL,39.54203691045796,36.94463431305536,8.099794941900205,7.552973342447027,14.114832535885165,0.10252904989747096
AP,55.07627564439769,53.68227248816413,2.761704366123093,2.288269331930563,10.257759074171489,0.0
HSa,32.63888888888889,30.381944444444443,10.9375,4.166666666666666,9.54861111111111,0.3472222222222222
HSb,32.12177121771217,28.505535055350556,4.667896678966789,5.350553505535055,9.575645756457565,0.09225092250922509
BAP1,12.94820717131474,10.258964143426295,1.294820717131474,0.9960159362549801,2.091633466135458,0.0
BAP2,48.13278008298755,54.356846473029044,1.6597510373443984,2.4896265560165975,9.12863070539419,0.0
BAP3,13.069016152716593,12.922173274596183,2.643171806167401,2.0558002936857562,4.552129221732746,0.0
F1,16.091954022988507,12.068965517241379,5.172413793103448,1.1494252873563218,6.321839080459771,0.5747126436781609
F2,47.62443438914027,54.41176470588235,17.760180995475114,8.257918552036198,4.638009049773756,0.0
F3,20.148433205057724,15.36558548653106,7.394172622319956,4.755360087960417,5.634964266080264,0.19241341396371633
LE,25.555555555555554,26.666666666666668,0.0,1.1111111111111112,2.2222222222222223,0.0
VE,21.469859620148636,15.82714010459675,0.2202036884117809,0.7982383704927056,5.119735755573906,0.0
PE,17.411988582302566,12.274024738344433,1.8078020932445291,1.9029495718363463,3.8058991436726926,0.19029495718363465
M,29.024390243902438,18.048780487804876,1.951219512195122,1.951219512195122,2.9268292682926833,0.0
NK,12.5,8.333333333333332,1.0416666666666665,0.0,0.0,0.0
P,57.14285714285714,48.87218045112782,8.270676691729323,5.263157894736842,0.0,0.0
T,15.678776290630974,9.655831739961759,1.338432122370937,0.19120458891013384,1.4340344168260037,0.09560229445506692
B,22.5,17.5,0.0,0.0,5.0,0.0
