SampleID,Tissue,Factor,Condition,Replicates,bamReads,Peaks,PeakCaller
PDL20_TP1_A,Cell-line,Wi38,TP1,1,atac_bams/PDL20_TP1_omni_A.shift.sorted.bam,atac_peaks/PDL20_TP1_omni_A_peaks.xls,macs
PDL20_TP1_B,Cell-line,Wi38,TP1,2,atac_bams/PDL20_TP1_omni_B.shift.sorted.bam,atac_peaks/PDL20_TP1_omni_B_peaks.xls,macs
PDL20_TP1_C,Cell-line,Wi38,TP1,3,atac_bams/PDL20_TP1_omni_C.shift.sorted.bam,atac_peaks/PDL20_TP1_omni_C_peaks.xls,macs
PDL25_TP2_A,Cell-line,Wi38,TP2,1,atac_bams/PDL25_TP2_omni_A.shift.sorted.bam,atac_peaks/PDL25_TP2_omni_A_peaks.xls,macs
PDL25_TP2_B,Cell-line,Wi38,TP2,2,atac_bams/PDL25_TP2_omni_B.shift.sorted.bam,atac_peaks/PDL25_TP2_omni_B_peaks.xls,macs
PDL25_TP2_C,Cell-line,Wi38,TP2,3,atac_bams/PDL25_TP2_omni_C.shift.sorted.bam,atac_peaks/PDL25_TP2_omni_C_peaks.xls,macs
PDL30_TP3_A,Cell-line,Wi38,TP3,1,atac_bams/PDL30_TP3_omni_A.shift.sorted.bam,atac_peaks/PDL30_TP3_omni_A_peaks.xls,macs
PDL30_TP3_B,Cell-line,Wi38,TP3,2,atac_bams/PDL30_TP3_omni_B.shift.sorted.bam,atac_peaks/PDL30_TP3_omni_B_peaks.xls,macs
PDL30_TP3_C,Cell-line,Wi38,TP3,3,atac_bams/PDL30_TP3_omni_C.shift.sorted.bam,atac_peaks/PDL30_TP3_omni_C_peaks.xls,macs
PDL33_TP4_A,Cell-line,Wi38,TP4,1,atac_bams/PDL33_TP4_omni_A.shift.sorted.bam,atac_peaks/PDL33_TP4_omni_A_peaks.xls,macs
PDL33_TP4_B,Cell-line,Wi38,TP4,2,atac_bams/PDL33_TP4_omni_B.shift.sorted.bam,atac_peaks/PDL33_TP4_omni_B_peaks.xls,macs
PDL33_TP4_C,Cell-line,Wi38,TP4,3,atac_bams/PDL33_TP4_omni_C.shift.sorted.bam,atac_peaks/PDL33_TP4_omni_C_peaks.xls,macs
PDL37_TP5_A,Cell-line,Wi38,TP5,1,atac_bams/PDL37_TP5_omni_A.shift.sorted.bam,atac_peaks/PDL37_TP5_omni_A_peaks.xls,macs
PDL37_TP5_B,Cell-line,Wi38,TP5,2,atac_bams/PDL37_TP5_omni_B.shift.sorted.bam,atac_peaks/PDL37_TP5_omni_B_peaks.xls,macs
PDL37_TP5_C,Cell-line,Wi38,TP5,3,atac_bams/PDL37_TP5_omni_C.shift.sorted.bam,atac_peaks/PDL37_TP5_omni_C_peaks.xls,macs
PDL46_TP6_A,Cell-line,Wi38,TP6,1,atac_bams/PDL46_TP6_omni_A.shift.sorted.bam,atac_peaks/PDL46_TP6_omni_A_peaks.xls,macs
PDL46_TP6_B,Cell-line,Wi38,TP6,2,atac_bams/PDL46_TP6_omni_B.shift.sorted.bam,atac_peaks/PDL46_TP6_omni_B_peaks.xls,macs
PDL50_TP7_A,Cell-line,Wi38,TP7,1,atac_bams/PDL50_TP7_omni_A.shift.sorted.bam,atac_peaks/PDL50_TP7_omni_A_peaks.xls,macs
PDL50_TP7_B,Cell-line,Wi38,TP7,2,atac_bams/PDL50_TP7_omni_B.shift.sorted.bam,atac_peaks/PDL50_TP7_omni_B_peaks.xls,macs
